21_JUMP_STREET.srt 	21_JUMP_STREET_DVS88 	00:11:41,00 --> 00:11:48,50 	the uniform cops walk through a storage area and enter a small chapel.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS491 	01:08:28,00 --> 01:08:35,50 	she notices someone walking by with a clipboard and returns her attention to the binder.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS502 	01:11:36,00 --> 01:11:41,50 	she drops the cell phone on him and walks out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS743 	01:38:24,00 --> 01:38:31,50 	as they walk over toward a fountain, four little girls run past.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS140 	00:09:01,00 --> 00:09:06,50 	he walks the weeping someone into the room.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS513 	00:47:07,00 --> 00:47:14,50 	later the recruiters walk a prison corridor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1233 	01:51:04,00 --> 01:51:08,50 	he walks away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS72 	00:09:35,00 --> 00:09:40,50 	at a rest stop, someone walks her dog on a leash.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS76 	00:11:10,00 --> 00:11:17,50 	she walks into the lobby, steps up to a blonde-haired desk clerk
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS101 	00:14:54,00 --> 00:15:01,50 	someone parks her car in from of woody's village saloon and walks toward the entrance.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS105 	00:16:46,00 --> 00:16:52,50 	someone smiles as she ends the call and walks into the saloon.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS121 	00:20:59,00 --> 00:21:04,50 	they walk into the back parking lot.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS125 	00:22:50,00 --> 00:22:56,50 	wearing her sweatshirt and sweatpants, she walks up a side walk.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS142 	00:24:59,00 --> 00:25:06,50 	she walks into the sports bar and scans the patrons as she slowly makes her way toward the front.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS149 	00:26:02,00 --> 00:26:10,50 	she slowly lowers the phone as a man with brown, wavy hair and a sparse beard walks into the bar.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS156 	00:27:40,00 --> 00:27:45,50 	someone walks up to someone' table.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS162 	00:30:26,00 --> 00:30:31,50 	later, they walk outside.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS172 	00:33:28,00 --> 00:33:35,50 	wearing her sweatshirt and sweatpants someone walks across a suburban lawn to a brick house
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS179 	00:34:25,00 --> 00:34:31,50 	someone slowly walks toward the garage and peers in through a window.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS221 	00:41:37,00 --> 00:41:42,50 	as he walks off, she grabs more books from the clearance table.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS222 	00:41:45,00 --> 00:41:49,50 	someone walks off.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS288 	00:55:45,00 --> 00:55:50,50 	someone walks across the parking lot to her car.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS290 	00:55:56,00 --> 00:56:01,50 	someone stands and walks off.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS295 	00:57:01,00 --> 00:57:06,50 	later, someone carries dolce as she walks through town.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS330 	01:02:14,00 --> 01:02:17,50 	someone walks off.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS331 	01:02:17,00 --> 01:02:22,50 	later, they walk across an athletic field.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS332 	01:02:32,00 --> 01:02:37,50 	someone sips from a bottle as they walk near woods.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS336 	01:05:36,00 --> 01:05:40,50 	someone walks off.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS346 	01:07:14,00 --> 01:07:19,50 	she slips on high heels, then walks to her car.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS348 	01:07:21,00 --> 01:07:28,50 	later, she strides into a buy buy baby store where she walks through the clothing department.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS354 	01:07:56,00 --> 01:08:02,50 	and walks into the crowded house.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS370 	01:11:07,00 --> 01:11:11,50 	someone walks out.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS372 	01:11:10,00 --> 01:11:16,50 	as someone walks downstairs, someone steps up with the baby.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS379 	01:12:00,00 --> 01:12:07,50 	someone wipes her mouth on a napkin then grabs another drink and walks outside.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS389 	01:15:55,00 --> 01:15:59,50 	someone walks away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS393 	01:16:33,00 --> 01:16:37,50 	someone walks into his house.
ZOMBIELAND.srt 	ZOMBIELAND_DVS740 	01:19:56,00 --> 01:20:03,50 	someone glances at someone as they walk side by side through the park.
ZOOKEEPER.srt 	ZOOKEEPER_DVS23 	00:03:32,00 --> 00:03:41,50 	someone lowers a drawbridge over a moat and walks over to it.
ZOOKEEPER.srt 	ZOOKEEPER_DVS107 	00:22:14,00 --> 00:22:41,50 	keeping his eyes on the animal, he walks backward out of view again.
ZOOKEEPER.srt 	ZOOKEEPER_DVS121 	00:26:27,00 --> 00:26:38,50 	on another day, patrons walk around the zoo.
ZOOKEEPER.srt 	ZOOKEEPER_DVS134 	00:28:22,00 --> 00:28:27,50 	he walks the boy through a door.
ZOOKEEPER.srt 	ZOOKEEPER_DVS136 	00:29:28,00 --> 00:29:31,50 	he walks for them.
ZOOKEEPER.srt 	ZOOKEEPER_DVS138 	00:30:13,00 --> 00:30:17,50 	someone walks crotch first.
ZOOKEEPER.srt 	ZOOKEEPER_DVS158 	00:35:35,00 --> 00:35:39,50 	people walk by behind the fence.
ZOOKEEPER.srt 	ZOOKEEPER_DVS286 	01:02:52,00 --> 01:03:00,50 	he frowns to himself as the groom walks off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS291 	01:03:42,00 --> 01:03:47,50 	someone walks off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS343 	01:16:37,00 --> 01:16:56,50 	as he walks off, someone watches with heartbroken eyes.
