21_JUMP_STREET.srt 	21_JUMP_STREET_DVS90 	00:11:53,00 --> 00:12:00,50 	a woman with long blonde hair turns.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS330 	01:03:46,00 --> 01:03:51,50 	as two cruise employees turn a jump rope, someone, in the middle, stumbles.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS335 	01:04:35,00 --> 01:04:43,50 	in a series of intricate steps, they tap their ankles, turn around, then stop, posing shoulder to shoulder.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS346 	01:06:19,00 --> 01:06:25,50 	someone enters the stall and the attendant turns to a counter of toiletries.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS438 	01:21:34,00 --> 01:21:38,50 	someone turns, her eyes wide.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS446 	01:22:21,00 --> 01:22:25,50 	without turning, someone punches her out.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS83 	00:11:34,00 --> 00:11:40,50 	someone turns back to annabelle, who checks her datebook.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS132 	00:23:27,00 --> 00:23:32,50 	she turns it, showing the title.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS243 	00:45:15,00 --> 00:45:21,50 	he turns off a lamp and leaves her sleeping peacefully.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS391 	01:15:52,00 --> 01:16:04,50 	she sits at the small entryway table, where someone turns on a lamp, and sets down his hat.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS442 	01:27:36,00 --> 01:27:41,50 	someone turns questioningly to his wife.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS447 	01:28:07,00 --> 01:28:13,50 	someone touches her forehead reassuringly, then turns off the light.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS459 	01:29:18,00 --> 01:29:25,50 	as someone appears in the doorway, her boss turns from his computer and gives her a stern look.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS472 	01:31:43,00 --> 01:31:51,50 	she moves the cursor to the publish button on screen and clicks it, then turns off the desk lamp.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS479 	01:32:29,00 --> 01:32:33,50 	she turns it on again and listens.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	now we see someone turning a crank on a manual sieve strainer, then someone turning on a food processor.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	now we see someone turning a crank on a manual sieve strainer, then someone turning on a food processor.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS519 	01:42:29,00 --> 01:42:39,50 	she turns to ernestine and they high five.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS578 	01:53:50,00 --> 01:53:56,50 	she turns to a duck recipe now on tv.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS624 	01:58:42,00 --> 01:58:49,50 	turning it over, she slides her fingers under the manila envelopes flap,
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS55 	00:18:51,00 --> 00:19:02,50 	seeing him, the young teacher turns away.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS83 	00:30:45,00 --> 00:30:51,50 	someone turns to someone, who stares agog at him.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS104 	00:38:44,00 --> 00:38:55,50 	he stops and turns.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS185 	01:05:09,00 --> 01:05:16,50 	turning, someone smacks his shoulder.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS303 	01:38:16,00 --> 01:38:22,50 	as he turns on his side, his left hand lands in the toilet.
KARATE_KID.srt 	KARATE_KID_DVS99 	00:08:53,00 --> 00:08:59,50 	someone drops his jacket on the floor and turns on the tv.
KARATE_KID.srt 	KARATE_KID_DVS138 	00:12:11,00 --> 00:12:16,50 	he turns the swatter in the light.
KARATE_KID.srt 	KARATE_KID_DVS251 	00:22:32,00 --> 00:22:37,50 	with an embarrassed pout, someone turns away.
KARATE_KID.srt 	KARATE_KID_DVS269 	00:24:35,00 --> 00:24:42,50 	turning, he passes a man in a gray uniform, standing guard beneath a red flag.
KARATE_KID.srt 	KARATE_KID_DVS291 	00:26:01,00 --> 00:26:07,50 	the boy turns and mr.
KARATE_KID.srt 	KARATE_KID_DVS307 	00:27:38,00 --> 00:27:45,50 	he turns to find mr.
KARATE_KID.srt 	KARATE_KID_DVS316 	00:28:18,00 --> 00:28:25,50 	the boys stroll in his direction, then turn down the off-shooting hallway.
KARATE_KID.srt 	KARATE_KID_DVS318 	00:28:35,00 --> 00:28:40,50 	turning, he cocks his head.
KARATE_KID.srt 	KARATE_KID_DVS362 	00:32:19,00 --> 00:32:24,50 	she picks up a remote and turns the tv off.
KARATE_KID.srt 	KARATE_KID_DVS381 	00:34:02,00 --> 00:34:18,50 	turning, he licks his lips, hurries to a door with a glass window, and peers through.
KARATE_KID.srt 	KARATE_KID_DVS412 	00:37:38,00 --> 00:37:47,50 	at the back of the advancing group, someone pauses and turns around.
KARATE_KID.srt 	KARATE_KID_DVS446 	00:40:02,00 --> 00:40:09,50 	he turns as a motorcycle cab trundles closer on a parallel course.
KARATE_KID.srt 	KARATE_KID_DVS458 	00:40:47,00 --> 00:40:58,50 	someone glances over the car at the boys, then ducks as someone turns in his direction.
KARATE_KID.srt 	KARATE_KID_DVS475 	00:42:35,00 --> 00:42:42,50 	turning from the locked shed, he sees someone and his cronies enter the courtyard.
KARATE_KID.srt 	KARATE_KID_DVS509 	00:46:09,00 --> 00:46:21,50 	as he turns back to someone, a small boy steps toward him.
KARATE_KID.srt 	KARATE_KID_DVS510 	00:46:23,00 --> 00:46:31,50 	his chest heaves as he turns from the group.
KARATE_KID.srt 	KARATE_KID_DVS523 	00:47:35,00 --> 00:47:39,50 	he turns away.
KARATE_KID.srt 	KARATE_KID_DVS581 	00:51:41,00 --> 00:51:47,50 	with a hard expression, the instructor turns to the visitors.
KARATE_KID.srt 	KARATE_KID_DVS620 	00:53:20,00 --> 00:53:25,50 	he turns to his students.
KARATE_KID.srt 	KARATE_KID_DVS728 	01:01:49,00 --> 01:01:55,50 	halting, he turns back and sets down his skateboard.
KARATE_KID.srt 	KARATE_KID_DVS981 	01:20:12,00 --> 01:20:19,50 	the boy turns, wide-eyed.
KARATE_KID.srt 	KARATE_KID_DVS1069 	01:26:53,00 --> 01:27:03,50 	now at school, the american boy turns down the brief corridor.
KARATE_KID.srt 	KARATE_KID_DVS1090 	01:29:56,00 --> 01:30:21,50 	she flings her hands out to the side, turns, and flips her hair.
KARATE_KID.srt 	KARATE_KID_DVS1090 	01:29:56,00 --> 01:30:21,50 	she gracefully shimmies her hips, steps away, then turns and points to someone.
KARATE_KID.srt 	KARATE_KID_DVS1096 	01:30:56,00 --> 01:31:02,50 	answering it, she turns away.
KARATE_KID.srt 	KARATE_KID_DVS1110 	01:32:16,00 --> 01:32:22,50 	the judges turn as someone and her mother run in.
KARATE_KID.srt 	KARATE_KID_DVS1123 	01:33:11,00 --> 01:33:25,50 	he turns into the school gates and dashes through the entrance.
KARATE_KID.srt 	KARATE_KID_DVS1131 	01:34:07,00 --> 01:34:12,50 	the instructor's eyes widen and he turns.
KARATE_KID.srt 	KARATE_KID_DVS1486 	02:01:05,00 --> 02:01:11,50 	someone turns away remorsefully and shuffles across the mat.
KARATE_KID.srt 	KARATE_KID_DVS1624 	02:12:06,00 --> 02:12:17,50 	someone turns away, then back-flips off his one good leg.
KARATE_KID.srt 	KARATE_KID_DVS1642 	02:13:30,00 --> 02:13:37,50 	grinning, the boy sets the trophy before his mother, then turns and locates his beaming teacher.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS84 	00:16:47,00 --> 00:16:54,50 	in fast motion night turns to day revealing the cityscape of las vegas, nevada.
KNOCKED_UP.srt 	KNOCKED_UP_DVS71 	00:43:09,00 --> 00:43:20,50 	brushing his teeth he turns to face her.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS35 	00:12:09,00 --> 00:12:18,50 	as they enter the dim cave, he turns on a string of christmas lights overhead.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS39 	00:13:41,00 --> 00:13:45,50 	he turns on the amplifier.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS77 	00:26:15,00 --> 00:26:21,50 	someone turns into the cave, and takes in its ridged high-rising walls.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS81 	00:27:20,00 --> 00:27:28,50 	continues to turn on the phonograph.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS95 	00:31:23,00 --> 00:31:28,50 	someone turns off the camera as someone and someone enter.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS161 	00:59:59,00 --> 01:00:03,50 	he turns to find his primitive friend feigning
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS166 	01:01:14,00 --> 01:01:25,50 	someone fearfully turns and one of the eggshells cracks.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS170 	01:02:23,00 --> 01:02:30,50 	someone turns, finding all the hatchlings asleep behind him.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS178 	01:05:04,00 --> 01:05:12,50 	she turns it on.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS185 	01:06:08,00 --> 01:06:20,50 	someone, someone, and someone all turn their heads in unison.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS26 	00:07:57,00 --> 00:08:16,50 	now at a bathroom sink he turns on the cold-water tap and bends over to splash his face.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS146 	00:32:31,00 --> 00:32:34,50 	he turns over his shoulder and sees someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS173 	00:39:51,00 --> 00:39:57,50 	he peeks through his window blinds, then turns.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS249 	01:00:11,00 --> 01:00:18,50 	turning she finds someone behind her.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS257 	01:01:36,00 --> 01:01:41,50 	someone turns to someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS284 	01:07:55,00 --> 01:08:00,50 	as he turns away, someone's shoulders sag.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS288 	01:09:07,00 --> 01:09:17,50 	with a triumphant smirk he turns on his heel and strides out of the bank.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS307 	01:12:44,00 --> 01:12:48,50 	someone turns to someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS313 	01:14:06,00 --> 01:14:11,50 	he throws up his hand and turns away.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS325 	01:15:28,00 --> 01:15:35,50 	the idyllic tranquil moment, then turns away and grimly heads inside.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS370 	01:28:12,00 --> 01:28:18,50 	as someone heads away, someone turns back to her friend.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS52 	00:03:23,00 --> 00:03:30,50 	coming out of a cave-like shelter, a rhinoceros turns around.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS119 	00:13:39,00 --> 00:13:46,50 	someone turns the pages of a comic book depicting the krishna story.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS133 	00:16:02,00 --> 00:16:12,50 	scooping up water from a basin with his hand, he takes a few sips then turns and takes in the space with a curious reverent gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS143 	00:18:01,00 --> 00:18:06,50 	he turns off a lamp and goes to bed.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS162 	00:21:46,00 --> 00:21:51,50 	he turns a wheel near a gate.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS166 	00:22:36,00 --> 00:22:42,50 	someone turns and runs but someone remains still.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS191 	00:25:13,00 --> 00:25:20,50 	someone slowly turns the corner and eyes the goat with his mouth hanging open.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS280 	00:37:10,00 --> 00:37:15,50 	turning, he faces a door with a port hole.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS282 	00:37:18,00 --> 00:37:25,50 	he turns a latch and the door swings open.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS354 	00:43:05,00 --> 00:43:11,50 	turning, he finds himself facing the completely submerged ship.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS360 	00:43:26,00 --> 00:43:32,50 	turning away, he swims.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS402 	00:47:20,00 --> 00:47:26,50 	it turns its head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS414 	00:48:15,00 --> 00:48:27,50 	turning her head over her shoulder, she gazes off over the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS419 	00:48:47,00 --> 00:48:52,50 	standing on the canvas cover, someone turns.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS451 	00:51:34,00 --> 00:51:40,50 	the orangutan picks it up, turning it in her hands and feet as she examines it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS460 	00:52:09,00 --> 00:52:16,50 	someone turns and stalks the orangutan who backs against the canvas' edge.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS497 	00:55:09,00 --> 00:55:16,50 	someone turns his gaze out over the slate-grey water surrounding them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS551 	00:59:37,00 --> 00:59:46,50 	standing along in the vast, isolated expanse, he turns his gaze toward the sunlit clouds above.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS576 	01:03:57,00 --> 01:04:02,50 	he turns, putting his tail to someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS606 	01:06:23,00 --> 01:06:30,50 	shaking water out of his pressed back ears, someone turns toward him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS684 	01:12:19,00 --> 01:12:25,50 	he turns and peers off into the distance with wide eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS717 	01:14:40,00 --> 01:14:47,50 	as they turn, hundreds of flying fish soar directly at them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS728 	01:15:45,00 --> 01:16:00,50 	he heaves it onto the canvas and turns starting down someone someone as fish continue flying by.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS750 	01:17:57,00 --> 01:18:03,50 	standing his ground, someone slowly turns his head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS971 	01:35:56,00 --> 01:36:01,50 	he turns his head and approaches a crest.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS990 	01:37:25,00 --> 01:37:32,50 	he turns to see someone someone walking through the field of attentive little creatures.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1003 	01:38:25,00 --> 01:38:34,50 	someone turns his head and sees someone someone springing toward the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1079 	01:49:12,00 --> 01:49:18,50 	the younger japanese man stares at someone as the older one turns to him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1100 	01:54:27,00 --> 01:54:33,50 	his expression hardens and someone turns his earnest gaze on the older man.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1114 	01:57:10,00 --> 01:57:16,50 	the writers eyes sparkle and the corners of his lips turn up.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS29 	00:11:53,00 --> 00:12:00,50 	someone turns on his polygraph machine then tears open his button down.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS48 	00:19:41,00 --> 00:19:48,50 	chewing her food, she turns away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS105 	00:42:00,00 --> 00:42:26,50 	turning to it, someone reads a text from someone, can't wait to see you at the hotel tonight.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS123 	00:45:23,00 --> 00:45:36,50 	at the apartment, someone turns on a light in the coat closet.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS137 	00:50:20,00 --> 00:50:28,50 	as someone rises, someone stops and turns to him.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS191 	01:09:40,00 --> 01:09:50,50 	someone turns away from a three-foot hole in the wall and crosses to the front door, where he finds someone with a bottle of wine.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS220 	01:19:10,00 --> 01:19:15,50 	someone turns and sees someone approaching.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS249 	01:23:05,00 --> 01:23:11,50 	other balls shift and someone turns to them.
MORNING_GLORY.srt 	MORNING_GLORY_DVS40 	00:05:15,00 --> 00:05:20,50 	she smiles and turns to leave.
MORNING_GLORY.srt 	MORNING_GLORY_DVS68 	00:12:31,00 --> 00:12:35,50 	then turns to the lift buttons and push it.
MORNING_GLORY.srt 	MORNING_GLORY_DVS96 	00:20:59,00 --> 00:21:07,50 	someone licks her lips and turns to someone with interest.
MORNING_GLORY.srt 	MORNING_GLORY_DVS110 	00:24:54,00 --> 00:25:00,50 	someone rolls his eyes sardonically as he turns to camera.
MORNING_GLORY.srt 	MORNING_GLORY_DVS121 	00:26:47,00 --> 00:26:51,50 	he turns to her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS133 	00:31:33,00 --> 00:31:39,50 	she smiles and turns back to the rest of the studio.
MORNING_GLORY.srt 	MORNING_GLORY_DVS193 	00:43:58,00 --> 00:44:04,50 	she stops and turns to regard herself in the mirror.
MORNING_GLORY.srt 	MORNING_GLORY_DVS228 	00:51:44,00 --> 00:51:49,50 	he stops and turns back to wish her goodnight.
MORNING_GLORY.srt 	MORNING_GLORY_DVS295 	01:04:36,00 --> 01:04:41,50 	someone scowls, then turns away.
MORNING_GLORY.srt 	MORNING_GLORY_DVS361 	01:19:50,00 --> 01:19:54,50 	someone turns to someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS399 	01:28:08,00 --> 01:28:14,50 	she meets his gaze directly and he turns in towards her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS417 	01:30:34,00 --> 01:30:40,50 	someone turns to the window with his brow furrowed.
MORNING_GLORY.srt 	MORNING_GLORY_DVS430 	01:33:31,00 --> 01:33:36,50 	she turns and heads back towards the entrance of the building.
MORNING_GLORY.srt 	MORNING_GLORY_DVS459 	01:37:34,00 --> 01:37:40,50 	the interviewers all turn to see someone breaking eggs.
MORNING_GLORY.srt 	MORNING_GLORY_DVS490 	01:41:04,00 --> 01:41:12,50 	someone turns to someone who grins cheekily.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS30 	00:04:28,00 --> 00:04:32,50 	he nods to someone who turns on a fan.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS40 	00:05:32,00 --> 00:05:37,50 	someone turns back with a smile.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS79 	00:12:23,00 --> 00:12:29,50 	as someone turns, the penguin blinks and stretches its neck.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS82 	00:12:43,00 --> 00:12:47,50 	he turns around.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS84 	00:12:48,00 --> 00:12:59,50 	he abruptly stands upright with his eyes wide, and his mouth slightly agape, then slowly turns to find the knee-high, black and white bird standing behind him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS105 	00:15:40,00 --> 00:15:48,50 	at the apartment, the penguin pecks at the tub, then tries to hop on a ledge and accidentally turns on a faucet.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS123 	00:19:46,00 --> 00:19:53,50 	sparks flash as he turns it on.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS149 	00:21:56,00 --> 00:22:03,50 	someone sets the penguin on the floor, then turns to a computer.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS174 	00:24:36,00 --> 00:24:41,50 	as he turns away, two of them run out.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS222 	00:31:58,00 --> 00:32:04,50 	the bird hits buttons with its beak, and the tv turns on.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS224 	00:32:08,00 --> 00:32:13,50 	one penguin waddles, then turns imitating someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS283 	00:37:49,00 --> 00:37:55,50 	as she turns to someone, they almost kiss, but hug instead.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS430 	00:50:46,00 --> 00:50:51,50 	someone turns to a mirror.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS439 	00:51:29,00 --> 00:51:35,50 	the penguin turns back, then scurries out as someone joins them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS533 	01:04:12,00 --> 01:04:19,50 	crouching he reaches for the unhatched egg, then turns to his bosses.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS563 	01:06:22,00 --> 01:06:29,50 	turning slightly he gives someone a nod, then faces the city again.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS572 	01:08:09,00 --> 01:08:13,50 	he turns to someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS574 	01:08:53,00 --> 01:08:57,50 	she turns away.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS575 	01:08:55,00 --> 01:09:03,50 	as someone follows her upstairs, someone watches, then turns to her ex-husband.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS580 	01:09:39,00 --> 01:09:43,50 	without turning, he nods.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS630 	01:16:25,00 --> 01:16:35,50 	she turns in a circle becoming entwined.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS637 	01:17:26,00 --> 01:17:31,50 	someone turns a corner and spots the someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS16 	00:04:12,00 --> 00:04:18,50 	flywheels and belts turn an axle.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS37 	00:09:39,00 --> 00:09:44,50 	someone turns away with a calculating gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS86 	00:18:39,00 --> 00:18:44,50 	turning his head with the contract papers.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS113 	00:25:32,00 --> 00:25:42,50 	glancing at her, he smiles faintly, then turns back to face the room.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS127 	00:28:56,00 --> 00:29:18,50 	she collects a teapot from the kitchen table and turns her attention to the sink.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS128 	00:29:20,00 --> 00:29:42,50 	it disappears around the corner just as someone turns.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS128 	00:29:20,00 --> 00:29:42,50 	she sets the now clean teapot on the table, then turns her back to the door again and smooths a clock at a sideboard.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS131 	00:30:13,00 --> 00:30:17,50 	someone turns.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS133 	00:30:33,00 --> 00:30:41,50 	as someone turns away, someone directs the elephant up the stairs with a friendly pat on its rear.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS199 	00:42:40,00 --> 00:42:44,50 	they lie on their sides and then roll and place making a turning shapes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS230 	00:48:18,00 --> 00:48:24,50 	the others turn.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS241 	00:50:12,00 --> 00:50:19,50 	someone turns.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS249 	00:51:36,00 --> 00:51:55,50 	someone and someone stare after their unhappy cousins, then turn away and head toward the barn.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS267 	00:58:50,00 --> 00:59:01,50 	she accepts it bravely, turns it over in her graceful hands, and musters a smile.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS269 	00:59:08,00 --> 00:59:25,50 	as someone turns away, mrs.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS275 	01:00:16,00 --> 01:00:24,50 	someone turns to face him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS290 	01:04:11,00 --> 01:04:16,50 	someone turns a red knob in the sidecar.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS322 	01:11:20,00 --> 01:11:25,50 	with an embarrassed look, he turns away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS336 	01:14:05,00 --> 01:14:11,50 	someone releases him, then turns to someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS342 	01:14:50,00 --> 01:15:01,50 	with a nod, someone releases his father's hand and turns away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS354 	01:16:33,00 --> 01:16:38,50 	inside a box, then turns to them with three pens.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS395 	01:23:23,00 --> 01:23:29,50 	someone and the kids turn from the window and glare at someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS427 	01:30:00,00 --> 01:30:05,50 	and someone turns to him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS456 	01:34:11,00 --> 01:34:19,50 	turning on the spot, someone stops, facing the field and stares.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS493 	01:39:47,00 --> 01:39:59,50 	someone beams at the bird, then turns her back to us and strolls toward a gentle valley.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS132 	00:21:24,00 --> 00:21:30,50 	someone turns away someone sits on her bed and pulls on his jeans.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS343 	01:04:09,00 --> 01:04:13,50 	she turns and gives someone an inquiring look,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS432 	01:18:48,00 --> 01:18:53,50 	they turn up a driveway through lush gardens.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS540 	01:40:12,00 --> 01:40:17,50 	someone turns to someone smiling nervously.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS30 	00:06:41,00 --> 00:06:50,50 	in a large suburban home a wall mounted screen turns on.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS55 	00:13:22,00 --> 00:13:26,50 	he turns his head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS141 	00:36:55,00 --> 00:37:00,50 	someone clicks a remote turning it off.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS275 	01:05:27,00 --> 01:05:32,50 	the grandfather pauses and turns back.
