21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS384 	01:14:04,00 --> 01:14:14,50 	he steps back, his hands on his hips and regards it shrewdly as his troubled student stands nearby.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS390 	01:14:55,00 --> 01:15:03,50 	on her other side someone stands, goes to the stage and shakes the principal's hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS396 	01:16:13,00 --> 01:16:40,50 	in slow motion he stands and makes his way to the stage.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS401 	01:17:30,00 --> 01:17:41,50 	in the art room, someone stands with his graduation robe slung over one arm.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS404 	01:17:49,00 --> 01:18:02,50 	in the doorway someone stands with her hands clasped before her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS452 	01:23:32,00 --> 01:23:38,50 	at cupid's cabin, as someone stands on the front stoop, someone shuts the door.
THE_CALL.srt 	THE_CALL_DVS109 	00:08:20,00 --> 00:08:32,50 	as it swings shut behind him, the dark ominous figure stands frozen in a vestibule with an arched entry.
THE_CALL.srt 	THE_CALL_DVS119 	00:09:15,00 --> 00:09:21,50 	from the archway, he spies a french window that stands ajar.
THE_CALL.srt 	THE_CALL_DVS155 	00:12:46,00 --> 00:12:52,50 	a shadowy figure stands at a window in her door.
THE_CALL.srt 	THE_CALL_DVS157 	00:12:58,00 --> 00:13:02,50 	someone stands outside.
THE_CALL.srt 	THE_CALL_DVS165 	00:13:32,00 --> 00:13:40,50 	now on the main floor of the call center, someone's boss stands behind a bank of monitors with her hands on her hips.
THE_CALL.srt 	THE_CALL_DVS189 	00:15:18,00 --> 00:15:24,50 	her coworker stands and stares with her gaze fixed ahead.
THE_CALL.srt 	THE_CALL_DVS221 	00:18:43,00 --> 00:18:49,50 	the words training unit stand out on her button up shirt.
THE_CALL.srt 	THE_CALL_DVS533 	00:41:21,00 --> 00:41:27,50 	the kidnapper bashes the driver's head and stands glaring at the motionless body.
THE_CALL.srt 	THE_CALL_DVS998 	01:16:34,00 --> 01:16:40,50 	her eyes widening, the 911 operator stands frozen.
THE_CALL.srt 	THE_CALL_DVS1072 	01:20:37,00 --> 01:20:44,50 	standing behind the wheelchair, someone leans over someone, who wears a shower cap on her head and the gas mask over her mouth and nose.
THE_CALL.srt 	THE_CALL_DVS1095 	01:21:58,00 --> 01:22:09,50 	she stands over him and breaks the ceramic head over his.
THE_CALL.srt 	THE_CALL_DVS1108 	01:23:31,00 --> 01:23:38,50 	someone stands pointing a pair of surgical scissors at her kidnapper.
THE_CALL.srt 	THE_CALL_DVS1119 	01:24:22,00 --> 01:24:32,50 	he stands up, his eyes locking on the escaping woman before him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS249 	00:39:03,00 --> 00:39:08,50 	now standing, someone smiles and waves.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS276 	00:43:27,00 --> 00:43:35,50 	a real estate sign stands posted outside the home's fence of rainbow-shaped rails.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS310 	00:46:59,00 --> 00:47:06,50 	on a windowsill, a varsity letter p stands propped against a diploma.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS372 	00:57:37,00 --> 00:57:42,50 	a few cows stand in their way.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS617 	01:30:57,00 --> 01:31:03,50 	someone and someone move in close to him and they all spy on standing at his daughter's bedside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS650 	01:32:54,00 --> 01:33:01,50 	in a third photo, four men in suits stand on a building's front steps.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS666 	01:33:41,00 --> 01:33:47,50 	some at picnic tables, others standing around chatting.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS689 	01:37:41,00 --> 01:37:46,50 	he rubs his nose then stands.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS714 	01:39:15,00 --> 01:39:19,50 	someone stands.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS733 	01:43:19,00 --> 01:43:25,50 	then ambles across the room and stands at her bedside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS757 	01:45:08,00 --> 01:45:15,50 	he kisses her temple, then stands aside as she crosses to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS59 	00:04:44,00 --> 00:04:53,50 	later someone stands outside in the shelter of the coffee shops entryway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS77 	00:07:11,00 --> 00:07:21,50 	both men stand.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS481 	00:55:13,00 --> 00:55:20,50 	someone stands with his glasses drooped down to his chin.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS575 	01:03:51,00 --> 01:03:58,50 	at the cottage, someone stands over a scanner, a pencil in his mouth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS596 	01:05:45,00 --> 01:05:52,50 	she stands and steps away shakily wiping her gloves on her pants.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS610 	01:07:32,00 --> 01:07:37,50 	as he obeys, she stands and steps over him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS630 	01:09:01,00 --> 01:09:08,50 	she goes to a chair, gathers up her things and stands over an unconscious someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS784 	01:30:22,00 --> 01:30:28,50 	standing at the open door of a volvo sedan
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS832 	01:34:49,00 --> 01:34:55,50 	he stands by studiously, a rustic cabin at his back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS846 	01:35:39,00 --> 01:35:43,50 	standing at the top, he scans the area contemplatively.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1177 	02:05:40,00 --> 02:05:48,50 	someone unbuttons someone's pants then stands upright and steps back, gazing thoughtfully.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS188 	01:02:23,00 --> 01:02:27,50 	she stands and raises the glass.
THE_SITTER.srt 	THE_SITTER_DVS71 	00:39:31,00 --> 00:39:36,50 	someone stands across the room.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS73 	00:21:11,00 --> 00:21:16,50 	someone glances around, then stands.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS96 	00:31:07,00 --> 00:31:35,50 	several dry erase boards with notes and plans on them stand around him.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS101 	00:32:39,00 --> 00:32:47,50 	now, phoenix pledges stand in the cold.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS144 	00:51:37,00 --> 00:51:45,50 	later, standing outside the bathroom, a happy someone glances at his friend.
THE_VOW.srt 	THE_VOW_DVS74 	00:06:35,00 --> 00:06:42,50 	she lifts her gaze and sees her handsome companion standing outside in the pouring rain.
THE_VOW.srt 	THE_VOW_DVS105 	00:10:15,00 --> 00:10:20,50 	they stand with friends in a gallery.
THE_VOW.srt 	THE_VOW_DVS144 	00:15:05,00 --> 00:15:11,50 	someone stands with someones doctor at the foot of the bed.
THE_VOW.srt 	THE_VOW_DVS195 	00:23:09,00 --> 00:23:14,50 	standing he gathers their things.
THE_VOW.srt 	THE_VOW_DVS238 	00:30:18,00 --> 00:30:27,50 	inside a framed photo of a shirtless someone stands beside a baroque vanity mirror painted yellow.
THE_VOW.srt 	THE_VOW_DVS246 	00:30:55,00 --> 00:31:01,50 	then stands and plods bare bottomed across the room.
THE_VOW.srt 	THE_VOW_DVS290 	00:37:59,00 --> 00:38:07,50 	elsewhere in the city, someone stands at a bustling intersection and blinks her frustrated eyes.
THE_VOW.srt 	THE_VOW_DVS337 	00:45:14,00 --> 00:45:21,50 	as the reunited friends chat, someone stands awkwardly apart.
THE_VOW.srt 	THE_VOW_DVS353 	00:48:55,00 --> 00:48:59,50 	they both stand.
THE_VOW.srt 	THE_VOW_DVS369 	00:52:14,00 --> 00:52:21,50 	standing just out of view by the doorway, someone clenches a fist.
THE_VOW.srt 	THE_VOW_DVS385 	00:54:10,00 --> 00:54:17,50 	standing at a partially-formed clay sculpture, someone gives a tense look.
THE_VOW.srt 	THE_VOW_DVS405 	00:56:09,00 --> 00:56:16,50 	seated at her desk, someone stands nervously.
THE_VOW.srt 	THE_VOW_DVS495 	01:09:46,00 --> 01:09:51,50 	standing in their underwear, they kiss again.
THE_VOW.srt 	THE_VOW_DVS538 	01:14:22,00 --> 01:14:28,50 	the bridal party moves on without someone, who stands among the guests.
THE_VOW.srt 	THE_VOW_DVS564 	01:17:38,00 --> 01:17:42,50 	they stand toe to toe.
THE_VOW.srt 	THE_VOW_DVS669 	01:33:35,00 --> 01:33:39,50 	he stands.
THE_WATCH.srt 	THE_WATCH_DVS95 	00:12:24,00 --> 00:12:31,50 	now, in someone otherwise vacant living room, the tall man stands at a snack table,
THE_WATCH.srt 	THE_WATCH_DVS106 	00:15:16,00 --> 00:15:20,50 	the young man with the knife stands.
THE_WATCH.srt 	THE_WATCH_DVS265 	00:49:24,00 --> 00:49:29,50 	staring at the creature, someone slowly stands.
THE_WATCH.srt 	THE_WATCH_DVS275 	00:50:53,00 --> 00:51:01,50 	the creature stands, towering over someone.
THE_WATCH.srt 	THE_WATCH_DVS360 	01:03:24,00 --> 01:03:28,50 	someone stands on the rear bumper.
THE_WATCH.srt 	THE_WATCH_DVS393 	01:09:28,00 --> 01:09:34,50 	someone stands as the tall man helps his daughter out of the truck.
THE_WATCH.srt 	THE_WATCH_DVS462 	01:23:00,00 --> 01:23:06,50 	they stand over the gunned down creature.
THE_WATCH.srt 	THE_WATCH_DVS465 	01:24:10,00 --> 01:24:18,50 	as the others head off, someone stands over the gunned down alien, its body oozing green slime.
THE_WATCH.srt 	THE_WATCH_DVS468 	01:24:26,00 --> 01:24:31,50 	someone stands over it.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS39 	00:11:13,00 --> 00:11:21,50 	the woman from the coffee shop stands over him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS89 	00:28:04,00 --> 00:28:08,50 	someone stands nearby.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS322 	01:22:11,00 --> 01:22:16,50 	someone stands at a street.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS394 	01:34:13,00 --> 01:34:19,50 	with a wry grin, he shakes his head and stands.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS540 	01:57:00,00 --> 01:57:08,50 	as he hangs from the hoop, his legs knock against someone who stands under the basket.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS44 	00:05:52,00 --> 00:05:59,50 	standing on a mezzanine, overlooking an atrium, their boss jerks her thumb.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS147 	00:29:08,00 --> 00:29:14,50 	as someone swings, someone stands on a platform.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS165 	00:31:40,00 --> 00:31:47,50 	someone hops out of the sports car and joins someone who stands in a long line to get in.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS228 	00:42:40,00 --> 00:42:45,50 	someone stands revealing his powerful build.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS311 	00:57:37,00 --> 00:57:42,50 	a tech wearing glasses stands behind him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS375 	01:09:19,00 --> 01:09:25,50 	someone stands by smiling as someone gives his son a hug.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS414 	01:14:50,00 --> 01:14:57,50 	as someone strides out of the room, someone stands motionless at his box of belongings.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS448 	01:19:50,00 --> 01:19:57,50 	in the trashed restaurant, the guys stand up.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS477 	01:24:19,00 --> 01:24:27,50 	standing on the road, someone and someone both fire at it.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS478 	01:24:24,00 --> 01:24:30,50 	someone stands back by the jeep, visible between the two agents.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS495 	01:26:01,00 --> 01:26:10,50 	he stands and they kiss each other's cheeks.
THOR.srt 	THOR_DVS73 	00:08:41,00 --> 00:08:47,50 	the king stands and thumps his spear on the floor.
THOR.srt 	THOR_DVS103 	00:15:14,00 --> 00:15:21,50 	where a man dressed in gleaming gold armor and clutching a sword stands outside.
THOR.srt 	THOR_DVS121 	00:17:55,00 --> 00:18:00,50 	he and his companions stand at the edge of a cliff.
THOR.srt 	THOR_DVS204 	00:27:18,00 --> 00:27:23,50 	standing motionless, the frost giants stare after them.
THOR.srt 	THOR_DVS237 	00:32:07,00 --> 00:32:16,50 	someone pushes a doctor away and stands, then flips a man into a supply cabinet.
THOR.srt 	THOR_DVS247 	00:33:18,00 --> 00:33:23,50 	elsewhere, a road sign stands at the edge of a small town.
THOR.srt 	THOR_DVS287 	00:39:27,00 --> 00:39:33,50 	someone stands behind someone at the far end of the corridor.
THOR.srt 	THOR_DVS313 	00:45:17,00 --> 00:45:24,50 	still standing in the middle of the street, someone watches as someone and the women leave.
THOR.srt 	THOR_DVS330 	00:49:35,00 --> 00:49:40,50 	someone and the other men stand.
THOR.srt 	THOR_DVS369 	00:55:59,00 --> 00:56:05,50 	as the first agent stands, someone slams the second agent into him and flees.
THOR.srt 	THOR_DVS387 	00:57:36,00 --> 00:57:43,50 	as both men stand, someone jumps and kicks the agent in the chest with both feet.
THOR.srt 	THOR_DVS418 	01:05:12,00 --> 01:05:20,50 	flanked by guards, someone waits outside as someone stands in the command center doorway.
THOR.srt 	THOR_DVS466 	01:17:01,00 --> 01:17:06,50 	elsewhere in the city, someone stands on a balcony.
THOR.srt 	THOR_DVS485 	01:19:51,00 --> 01:20:00,50 	back on asgard, someone stands outside his observatory with his sword propped upright in front of himself as someone approaches.
THOR.srt 	THOR_DVS517 	01:23:19,00 --> 01:23:28,50 	finds herself standing on the destroyer's chest.
THOR.srt 	THOR_DVS529 	01:24:45,00 --> 01:24:51,50 	the asgardians hurry away with someone's group as someone stands his ground.
THOR.srt 	THOR_DVS545 	01:26:56,00 --> 01:27:02,50 	in asgard, someone stands in front of his throne,
THOR.srt 	THOR_DVS588 	01:30:41,00 --> 01:30:52,50 	standing with a host of frost giants, someone grins.
THOR.srt 	THOR_DVS594 	01:31:18,00 --> 01:31:23,50 	he glances at someone who stands at the circles edge.
THOR.srt 	THOR_DVS632 	01:35:32,00 --> 01:35:41,50 	back on earth, someone, someone and someone gaze up at a flashing storm cloud as they stand around a circular pattern on the ground.
THOR.srt 	THOR_DVS651 	01:37:47,00 --> 01:37:52,50 	someone stands over someone.
THOR.srt 	THOR_DVS656 	01:38:10,00 --> 01:38:15,50 	someone rises and stands over his brother.
THOR.srt 	THOR_DVS670 	01:40:03,00 --> 01:40:11,50 	standing on the ragged edge of the bridge, someone grabs someone's leg.
THOR.srt 	THOR_DVS682 	01:41:31,00 --> 01:41:36,50 	someone stands motionless then slowly follows the others.
THOR.srt 	THOR_DVS697 	01:44:25,00 --> 01:44:32,50 	later, someone approaches someone, who stands gripping his sword at the ragged end of the bridge.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS104 	00:11:38,00 --> 00:11:43,50 	now, in his pretty dress, someone stands in a grand hall.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS121 	00:13:52,00 --> 00:13:55,50 	he stands up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS166 	00:22:04,00 --> 00:22:09,50 	a male fairy stands at a control station.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS174 	00:23:10,00 --> 00:23:16,50 	now, someone stands at a check-in window.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS226 	00:29:22,00 --> 00:29:26,50 	someone stands in the doorway.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS231 	00:29:59,00 --> 00:30:04,50 	someone swats a bent wing into place as he stands.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS640 	01:11:09,00 --> 01:11:13,50 	someone stands frozen.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS733 	01:20:39,00 --> 01:20:45,50 	in the stands, someone stands on his chair.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS737 	01:21:00,00 --> 01:21:08,50 	below, his teammates and fans stare after him and the players on the ice stand motionless.
TRUE_GRIT.srt 	TRUE_GRIT_DVS101 	00:24:49,00 --> 00:24:54,50 	he stands and walks over.
TRUE_GRIT.srt 	TRUE_GRIT_DVS105 	00:26:54,00 --> 00:26:58,50 	he stands sharply.
TRUE_GRIT.srt 	TRUE_GRIT_DVS218 	00:46:35,00 --> 00:46:41,50 	someone and someone walk over and stand beneath the hanged man.
TRUE_GRIT.srt 	TRUE_GRIT_DVS354 	01:12:49,00 --> 01:12:55,50 	someone stands framed by the square entrance to a dark mine.
TRUE_GRIT.srt 	TRUE_GRIT_DVS361 	01:14:00,00 --> 01:14:04,50 	someone stands.
TRUE_GRIT.srt 	TRUE_GRIT_DVS466 	01:31:09,00 --> 01:31:14,50 	someone stands sharply and gasps.
TRUE_GRIT.srt 	TRUE_GRIT_DVS534 	01:36:49,00 --> 01:36:55,50 	someone's horse lies dead beside someone, whos own horse stands over him.
TRUE_GRIT.srt 	TRUE_GRIT_DVS590 	01:42:27,00 --> 01:42:31,50 	someone stands.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS246 	00:23:23,00 --> 00:23:28,50 	someone stands below, hands on her hips.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS295 	00:30:11,00 --> 00:30:15,50 	in a dream, someone stands naked with cartoon clouds covering her chest and hips.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS312 	00:32:59,00 --> 00:33:04,50 	he stands, using a nurse station phone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS341 	00:39:35,00 --> 00:39:39,50 	he stands.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS371 	00:43:55,00 --> 00:44:08,50 	someone stands.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS484 	00:59:50,00 --> 00:59:58,50 	someone ogles a busty woman standing at the bar behind someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS563 	01:14:57,00 --> 01:15:01,50 	someone stands hastily.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS620 	01:23:00,00 --> 01:23:13,50 	an assistant feeds a cable out from a news van, as a cameraman paces toward someone, who stands by a grounded balloon.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS77 	00:12:50,00 --> 00:12:57,50 	at the center of the table, tiny people stand around a gaping chasm.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS87 	00:13:44,00 --> 00:13:48,50 	someone stands in the doorway.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS151 	00:25:58,00 --> 00:26:03,50 	a sultry woman stands in an old barn.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS396 	01:02:58,00 --> 01:03:06,50 	now in his bedroom, he wears an undershirt and sweatpants as he stands at his dresser, his hair damp.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS404 	01:03:32,00 --> 01:03:40,50 	shot from the waist up during one of her pregnancies, she stands nude with one arm across her chest.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS675 	01:38:52,00 --> 01:39:00,50 	later, he stands on a building's corrugated metal roof.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS679 	01:39:10,00 --> 01:39:20,50 	now, he stands at an ankle-deep pool as otters swim around him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS732 	01:44:56,00 --> 01:45:07,50 	at the ground's entrance, an archway reading rosemoor wildlife park stands in the 	heavy downpour.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS789 	01:52:16,00 --> 01:52:21,50 	someone stands with two boys.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS805 	01:53:42,00 --> 01:53:47,50 	standing hastily, she leaves.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS817 	01:54:50,00 --> 01:54:57,50 	someone stands with someone, who glances up at her as she flies her red kite.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS118 	00:12:15,00 --> 00:12:20,50 	a woman with long bangs stands sheepishly.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS136 	00:18:04,00 --> 00:18:10,50 	later, she tipsily stands with another.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS137 	00:18:11,00 --> 00:18:16,50 	now she stands on the bar, the crowd at her feet.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS313 	00:44:19,00 --> 00:44:26,50 	a dorky guy with large glasses and mismatched clothes stands on the stoop.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS323 	00:45:53,00 --> 00:45:58,50 	someone stands, then slumps back down.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS354 	00:52:04,00 --> 00:52:10,50 	she gives a man standing guard a little nod, then heads further in.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS460 	01:04:35,00 --> 01:04:39,50 	stand side by side.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS488 	01:08:19,00 --> 01:08:25,50 	later at a flower shop, someone stands alone with an open binder in her hand.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS538 	01:14:37,00 --> 01:14:44,50 	now at an upscale restaurant, a fountain stands amid softly lit tables.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS544 	01:15:05,00 --> 01:15:12,50 	as he approaches in slow motion, someone nervously stands.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS615 	01:23:10,00 --> 01:23:15,50 	the guests stand as someone's mother walks her down the aisle.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS645 	01:29:44,00 --> 01:29:49,50 	he stands stiffly by her mother,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS126 	00:08:14,00 --> 00:08:21,50 	the doctor stands staring at the rattling-steel lab tables.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS195 	00:14:56,00 --> 00:15:01,50 	he stands and steps around the desk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS252 	00:19:32,00 --> 00:19:35,50 	he stands.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS420 	00:36:14,00 --> 00:36:22,50 	on a lawn, a sphere stands on a pedestal, resembling a giant golf ball on a tee.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS455 	00:39:58,00 --> 00:40:07,50 	now standing in an open upper hatch, someone's diamond hand cuts a plum-sized chunk of ice from a large formation.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS479 	00:43:01,00 --> 00:43:07,50 	someone stands motionless, his wary gaze fixed on someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS668 	01:01:27,00 --> 01:01:31,50 	someone stands.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS712 	01:04:12,00 --> 01:04:19,50 	standing at the atrium's center, someone directs the roiling flames with his gaze
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS799 	01:11:56,00 --> 01:12:03,50 	the captain and a few crew members stand vigilantly on the control bridge.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS822 	01:14:15,00 --> 01:14:20,50 	someone stands before him, the gun pointed at his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS839 	01:16:53,00 --> 01:16:58,50 	now someone stands with someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS869 	01:19:39,00 --> 01:19:43,50 	someone stands by the dummy.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS887 	01:20:55,00 --> 01:21:00,50 	his mother stands with him and they share a smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1020 	01:32:01,00 --> 01:32:07,50 	now a hangar stands across an airfield.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1197 	01:47:04,00 --> 01:47:10,50 	the someone stands upright, unharmed, and someone gapes.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1228 	01:50:23,00 --> 01:50:30,50 	someone stands frozen, arm outstretched, reaching for his helmet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1347 	02:03:59,00 --> 02:04:05,50 	his four cohorts stand in the doorway.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS52 	00:07:28,00 --> 00:07:32,50 	someone slides out of bed and stands.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS134 	00:23:46,00 --> 00:23:54,50 	standing in a mirror, she rubs foundation onto her face then smooths it with a make-up brush.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS139 	00:24:08,00 --> 00:24:14,50 	she stands.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS151 	00:26:15,00 --> 00:26:20,50 	someone stands as someone hugs her.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS155 	00:27:37,00 --> 00:27:43,50 	standing at the bar, someone raises one finger.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS204 	00:39:05,00 --> 00:39:08,50 	she stands on the
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS224 	00:42:40,00 --> 00:42:48,50 	standing in a mirror, someone clips a blonde weave onto the back of her head and blends it in to her own hair with a brush.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS227 	00:42:51,00 --> 00:42:55,50 	he stands as someone parks.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS240 	00:46:02,00 --> 00:46:08,50 	later, at champion o'malley's someone stands at the bar.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS322 	00:59:36,00 --> 00:59:42,50 	in one photo, a younger someone stands in her wedding dress with her ex-husband, someone, as they are about to cut their wedding cake.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS337 	01:05:42,00 --> 01:05:49,50 	later, someone stands at a fast food counter as a worker loads her tray with food.
