21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS290 	00:56:57,00 --> 00:57:01,50 	someone takes someone's handbag.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS333 	01:04:22,00 --> 01:04:27,50 	as someone snacks obliviously, she takes a seat.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS367 	01:09:57,00 --> 01:10:04,50 	it strolls into the kitchen and takes a seat, staring at the oven.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS371 	01:10:14,00 --> 01:10:21,50 	she yanks out the pot and takes off the lid, revealing her ruined stew.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS491 	01:34:28,00 --> 01:34:33,50 	someone takes a deep breath.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS494 	01:34:38,00 --> 01:34:45,50 	he takes the bag, then slings an arm around her shoulders as they head inside.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS540 	01:47:14,00 --> 01:47:20,50 	someone takes a seat beside her on the couch, and rests a hand on her thigh.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS542 	01:48:15,00 --> 01:48:19,50 	she takes his hand.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS563 	01:50:24,00 --> 01:50:35,50 	she takes a seat on a cushion wicker bench, opens the envelope, and reads.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS591 	01:55:31,00 --> 01:55:35,50 	someone takes a bite.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS598 	01:56:34,00 --> 01:56:40,50 	someone takes a photo of the counters.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS601 	01:56:48,00 --> 01:56:52,50 	someone takes a picture.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS621 	01:58:31,00 --> 01:58:37,50 	someone plops a package down on the table and takes a seat.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS623 	01:58:39,00 --> 01:58:45,50 	he hands her the package, the chef takes it quizzically.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS21 	00:05:03,00 --> 00:05:11,50 	now at a medical practice, a woman takes a stiff dark liquid filled sack from a box.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS57 	00:19:26,00 --> 00:19:31,50 	someone takes him to a classroom.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS70 	00:24:12,00 --> 00:24:19,50 	bending down, he takes up handfuls of her long honey-brown hair and peers closely at it.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS88 	00:33:09,00 --> 00:33:18,50 	someone pours soda into his glass, then takes a sip through a straw.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS120 	00:42:36,00 --> 00:42:40,50 	she beams and takes a bite.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS133 	00:47:44,00 --> 00:47:50,50 	someone takes out his credit card then returns to the others.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS137 	00:50:34,00 --> 00:50:39,50 	someone takes a pitcher from the waiter.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS199 	01:10:53,00 --> 01:10:58,50 	someone takes off his water wings.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS204 	01:11:56,00 --> 01:12:04,50 	beside her, someone takes off her shades and regards him with a fond gaze.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS222 	01:17:09,00 --> 01:17:19,50 	she receives a text from him reading, i think they took one of your yellow bombers.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS307 	01:38:37,00 --> 01:38:44,50 	the brown-haired girl takes her mother's hand and rests her head on someone's pillow.
KARATE_KID.srt 	KARATE_KID_DVS40 	00:03:40,00 --> 00:03:46,50 	he doffs his jacket and takes a seat.
KARATE_KID.srt 	KARATE_KID_DVS58 	00:04:56,00 --> 00:05:00,50 	later, the plane takes off.
KARATE_KID.srt 	KARATE_KID_DVS171 	00:14:26,00 --> 00:14:40,50 	they trade easy shots over a row of rocks taking the place of a net.
KARATE_KID.srt 	KARATE_KID_DVS290 	00:25:57,00 --> 00:26:04,50 	he picks it up, takes careful aim, and flicks it.
KARATE_KID.srt 	KARATE_KID_DVS413 	00:37:44,00 --> 00:37:53,50 	with a smile, she stands beside him and joins him in craning her head back to take in the doors' full height.
KARATE_KID.srt 	KARATE_KID_DVS441 	00:39:40,00 --> 00:39:47,50 	the group files off in the same direction that someone takes when leaving school.
KARATE_KID.srt 	KARATE_KID_DVS667 	00:56:31,00 --> 00:56:37,50 	someone takes off his jacket and drops it in the doorway.
KARATE_KID.srt 	KARATE_KID_DVS700 	00:59:09,00 --> 00:59:13,50 	he takes it back off.
KARATE_KID.srt 	KARATE_KID_DVS705 	00:59:23,00 --> 00:59:28,50 	he watches coolly as someone hangs his jacket on the peg, then takes it back off.
KARATE_KID.srt 	KARATE_KID_DVS716 	00:59:56,00 --> 01:00:03,50 	now, in the courtyard, someone holds an umbrella over someone as the boy takes off his jacket,
KARATE_KID.srt 	KARATE_KID_DVS729 	01:01:52,00 --> 01:02:01,50 	he quickly takes off his jacket and hides it beneath a giant gourd in a pile of items just outside the door.
KARATE_KID.srt 	KARATE_KID_DVS740 	01:02:36,00 --> 01:02:44,50 	a metal stand holds an umbrella above someone's head as the boy mechanically takes off his jacket,
KARATE_KID.srt 	KARATE_KID_DVS747 	01:03:06,00 --> 01:03:13,50 	someone swings his jacket around his shoulders, pauses, takes it off, and drapes it on the peg.
KARATE_KID.srt 	KARATE_KID_DVS750 	01:03:25,00 --> 01:03:30,50 	the boy takes the jacket off the peg.
KARATE_KID.srt 	KARATE_KID_DVS789 	01:06:41,00 --> 01:06:48,50 	as she takes a seat on a bench beside the lantern, she points someone to a bench opposite.
KARATE_KID.srt 	KARATE_KID_DVS860 	01:10:55,00 --> 01:11:01,50 	someone shuffles off and takes a seat on a shaded stoop.
KARATE_KID.srt 	KARATE_KID_DVS929 	01:16:11,00 --> 01:16:22,50 	the teacher smiles at the boy, who happily takes in the stunning terrain.
KARATE_KID.srt 	KARATE_KID_DVS1075 	01:28:01,00 --> 01:28:05,50 	someone takes her by the wrist.
KARATE_KID.srt 	KARATE_KID_DVS1111 	01:32:22,00 --> 01:32:29,50 	her instructor urges the girl forward, then takes a seat near the back of the house.
KARATE_KID.srt 	KARATE_KID_DVS1113 	01:32:30,00 --> 01:32:40,50 	as her parents take seats near the front of the house, she steps center stage, bows first to the judges, then to the orchestra.
KARATE_KID.srt 	KARATE_KID_DVS1316 	01:46:29,00 --> 01:46:37,50 	someone snarls, and circles his arms around each other, then takes a ready stance.
KARATE_KID.srt 	KARATE_KID_DVS1328 	01:47:30,00 --> 01:47:35,50 	someone takes a package out of his jacket.
KARATE_KID.srt 	KARATE_KID_DVS1370 	01:50:36,00 --> 01:50:55,50 	in the stands, someone waves someone over, and someone's mother takes a seat between the girl and someone.
KARATE_KID.srt 	KARATE_KID_DVS1424 	01:54:59,00 --> 01:55:15,50 	someone's new opponent takes a ready stance.
KARATE_KID.srt 	KARATE_KID_DVS1473 	01:59:49,00 --> 01:59:55,50 	reaching the platform, someone takes his place.
KARATE_KID.srt 	KARATE_KID_DVS1522 	02:03:30,00 --> 02:03:35,50 	gazing up, someone takes a deep breath.
KARATE_KID.srt 	KARATE_KID_DVS1549 	02:05:14,00 --> 02:05:20,50 	someone applauds hopefully as her son takes his place on the mat.
KARATE_KID.srt 	KARATE_KID_DVS1552 	02:05:25,00 --> 02:05:30,50 	the two boys take their starting poses.
KARATE_KID.srt 	KARATE_KID_DVS1570 	02:07:24,00 --> 02:07:50,50 	the official takes the american's wrist and helps him up.
KARATE_KID.srt 	KARATE_KID_DVS1586 	02:09:13,00 --> 02:09:21,50 	someone takes a deep breath, edges toward someone, and attacks.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS297 	01:10:12,00 --> 01:10:18,50 	someone takes a necklace out of a clear plastic bag and holds it up.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS317 	01:12:21,00 --> 01:12:28,50 	someone clutches a microphone as she takes her position on the platform under the stage.
KNOCKED_UP.srt 	KNOCKED_UP_DVS37 	00:23:55,00 --> 00:24:00,50 	she takes another swipe at her mouth, then freezes
KNOCKED_UP.srt 	KNOCKED_UP_DVS79 	00:46:01,00 --> 00:46:07,50 	takes a long sip of coffee.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS17 	00:06:54,00 --> 00:07:03,50 	the scientist takes a flip-top lighter from his pocket and eyes the inscription: big cat.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS83 	00:27:36,00 --> 00:27:43,50 	someone takes a piece of someone's pants over to a blanket, where he sits and flails around.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS142 	00:51:13,00 --> 00:51:23,50 	pterodactyl swoops down and grabs it, taking the amplifier with it.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS179 	01:05:10,00 --> 01:05:15,50 	she takes a few steps away from the pool.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS225 	01:19:40,00 --> 01:19:44,50 	a roman candle, he takes out his lighter.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS21 	00:06:45,00 --> 00:06:52,50 	someone takes a breath
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS61 	00:16:45,00 --> 00:16:50,50 	then opens a drawer and takes out a pill.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS63 	00:16:55,00 --> 00:17:03,50 	she takes a weary breath.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS118 	00:27:33,00 --> 00:27:38,50 	she takes two long swigs.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS144 	00:32:25,00 --> 00:32:29,50 	takes the phone out again.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS195 	00:45:50,00 --> 00:45:56,50 	takes off his shades and glares at someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS234 	00:54:48,00 --> 00:54:54,50 	someone takes a seat opposite them.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS258 	01:01:42,00 --> 01:01:48,50 	facing her, someone takes in her drunken grin.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS360 	01:26:18,00 --> 01:26:22,50 	taking a sip, she stares to someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS101 	00:12:17,00 --> 00:12:24,50 	taking a disc of naan, he notices his host's eyes closed in prayer.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS138 	00:16:36,00 --> 00:16:43,50 	staring at the glass, someone cautiously accepts the drink and takes a tiny sip.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS227 	00:31:19,00 --> 00:31:23,50 	the young beauty takes his hand.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS257 	00:33:50,00 --> 00:34:00,50 	the larger one takes the smaller one's hand and comforts it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS352 	00:42:46,00 --> 00:42:54,50 	someone takes a deep breath and submerges.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS395 	00:46:35,00 --> 00:46:44,50 	as someone takes up a long handles oar and jumps to the canvas cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS447 	00:50:56,00 --> 00:51:03,50 	orange juice slumps against the edge of the canvas cover taking slow, deep breaths.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS449 	00:51:20,00 --> 00:51:26,50 	someone takes it out and flips through pages illustrated with diagrams.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS450 	00:51:24,00 --> 00:51:33,50 	he takes one out and tosses it to orange juice.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS459 	00:52:03,00 --> 00:52:12,50 	perching atop the zebra's carcass, he starts to take a bite.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS489 	00:54:37,00 --> 00:54:43,50 	someone takes a handful of cans from the supply hatch and drops those in as well.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS490 	00:54:41,00 --> 00:54:47,50 	taking out small boxes, he chucks one in and opens the other.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS491 	00:54:45,00 --> 00:54:50,50 	unwrapping a nutritional biscuit, he takes a big bite.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS543 	00:58:47,00 --> 00:58:52,50 	watching him calmly, someone crouches down and takes up the rope tether.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS619 	01:07:22,00 --> 01:07:27,50 	someone takes a hatchet from the supply hatch.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS678 	01:12:00,00 --> 01:12:07,50 	someone takes in the dazzling array of ocean life glowing beneath his raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS737 	01:16:40,00 --> 01:16:45,50 	someone takes in several big bites, filling his mouth.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS792 	01:20:43,00 --> 01:20:49,50 	he takes out his survival journal and a pencil.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS860 	01:26:46,00 --> 01:26:52,50 	someone unties his canvas canopy and takes down the wooden post.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS862 	01:26:56,00 --> 01:27:03,50 	with his ears pinned back, someone someone takes cover under the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS933 	01:32:56,00 --> 01:33:02,50 	holding onto the rim of the boat, someone takes a seat beside the sickly animal.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS965 	01:35:29,00 --> 01:35:34,50 	he takes a large bite and chews.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS983 	01:36:48,00 --> 01:36:54,50 	someone tilts his head back and takes a big gulp.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1057 	01:45:27,00 --> 01:45:32,50 	he takes a long breath and blinks.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1074 	01:48:27,00 --> 01:48:32,50 	the writer takes the report.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1089 	01:52:02,00 --> 01:52:07,50 	it fades and he takes on a haunted expression.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1104 	01:55:03,00 --> 01:55:09,50 	he stares off with a haunted expression and takes a deep breath.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS21 	00:07:40,00 --> 00:07:48,50 	he takes down robert's photo.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS54 	00:20:15,00 --> 00:20:19,50 	someone takes a small bite.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS65 	00:23:32,00 --> 00:23:37,50 	he takes it out.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS70 	00:25:30,00 --> 00:25:37,50 	someone takes his hand.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS88 	00:33:49,00 --> 00:34:00,50 	later, they pull up to the new house where some construction workers take a break in the yard.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS203 	01:12:31,00 --> 01:12:38,50 	as someone moves through the shadows outside, someone takes off her blouse.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS227 	01:20:39,00 --> 01:20:47,50 	someone takes it and goes to a tent.
MORNING_GLORY.srt 	MORNING_GLORY_DVS41 	00:05:29,00 --> 00:05:34,50 	someone takes a t-shirt from a gift bag.
MORNING_GLORY.srt 	MORNING_GLORY_DVS79 	00:14:03,00 --> 00:14:08,50 	she takes a call on her mobile.
MORNING_GLORY.srt 	MORNING_GLORY_DVS90 	00:17:15,00 --> 00:17:23,50 	then he takes someone's mug and goes.
MORNING_GLORY.srt 	MORNING_GLORY_DVS100 	00:21:57,00 --> 00:22:03,50 	a member of staff takes a photo on his phone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS139 	00:32:56,00 --> 00:33:02,50 	someone takes the orchid to someone's dressing room and knocks.
MORNING_GLORY.srt 	MORNING_GLORY_DVS152 	00:34:55,00 --> 00:34:59,50 	she takes off her jacket.
MORNING_GLORY.srt 	MORNING_GLORY_DVS205 	00:47:03,00 --> 00:47:11,50 	someone's taken her skirt off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS219 	00:48:38,00 --> 00:48:45,50 	she takes a deep breath and heads towards him with a look of grim determination.
MORNING_GLORY.srt 	MORNING_GLORY_DVS294 	01:04:19,00 --> 01:04:23,50 	she took a photo.
MORNING_GLORY.srt 	MORNING_GLORY_DVS299 	01:05:46,00 --> 01:05:53,50 	she gets up, taking a flask with her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS303 	01:06:49,00 --> 01:06:56,50 	someone takes off his glasses and throws them down.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS66 	00:10:28,00 --> 00:10:33,50 	he takes off his sunglasses, then adjusts the dining room chair.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS69 	00:10:40,00 --> 00:10:44,50 	he takes out a cell phone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS236 	00:34:44,00 --> 00:34:53,50 	as he waves, the penguins take a step back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS306 	00:39:26,00 --> 00:39:31,50 	someone reaches into his jacket and takes out his cell phone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS467 	00:55:40,00 --> 00:55:44,50 	he offers his arm and she takes it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS606 	01:12:11,00 --> 01:12:17,50 	with a smile, he takes the phone and dials, then lifts it to his ear.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS656 	01:21:28,00 --> 01:21:32,50 	someone takes out a sardine.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS657 	01:21:30,00 --> 01:21:36,50 	with a penguins between them, they each take a few steps back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS673 	01:23:40,00 --> 01:23:56,50 	inside, the hostess takes four menus reading, "tavern on the green.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS11 	00:03:41,00 --> 00:03:46,50 	someone takes a deep breath.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS115 	00:25:48,00 --> 00:26:02,50 	his eyes take in someone as he walks back to her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS196 	00:42:19,00 --> 00:42:26,50 	it pinches its snout with a hoof and takes a breath.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS245 	00:51:00,00 --> 00:51:10,50 	someone slowly takes it from him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS270 	00:59:24,00 --> 00:59:30,50 	someone takes the message.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS274 	01:00:02,00 --> 01:00:17,50 	he takes a ragged breath.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS280 	01:01:20,00 --> 01:01:25,50 	taking a seat, he smiles up at him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	he faces someone and takes a breath.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS410 	01:25:47,00 --> 01:25:54,50 	she takes out a manicure case and removes a pair of nail scissors.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS437 	01:30:56,00 --> 01:31:13,50 	the girls take cover behind a trough with mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS463 	01:35:07,00 --> 01:35:12,50 	someone takes the next turn, followed by mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS471 	01:36:21,00 --> 01:36:26,50 	mr. edelweiss takes flight.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS479 	01:38:05,00 --> 01:38:16,50 	taking in her emotional smile, they follow her gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS506 	01:41:27,00 --> 01:41:41,50 	someone takes him away in handcuffs.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS96 	00:13:36,00 --> 00:13:41,50 	he takes a script from his back.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS98 	00:13:57,00 --> 00:14:02,50 	someone takes a drag on the joint.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS291 	00:53:05,00 --> 00:53:09,50 	she takes another call.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS366 	01:08:11,00 --> 01:08:15,50 	she takes the shot,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS368 	01:08:14,00 --> 01:08:22,50 	takes a shot, left turn, nudges against the concrete curb, and heads straight for the hole.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS500 	01:32:42,00 --> 01:32:47,50 	someone takes freckles and walks off.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS42 	00:09:57,00 --> 00:10:06,50 	she hesitantly takes it and dials.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS57 	00:13:53,00 --> 00:13:59,50 	smiling someone takes his wife's hand.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS179 	00:43:50,00 --> 00:43:54,50 	he takes a big bite.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS201 	00:50:35,00 --> 00:50:47,50 	now our view takes in a picturesque coastal town with a lighthouse painted in red and white stripes.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS216 	00:52:48,00 --> 00:52:54,50 	someone takes someone into a filthy restroom.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS223 	00:54:11,00 --> 00:54:19,50 	they breathlessly take their seats.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS226 	00:54:31,00 --> 00:54:38,50 	a young solo violinist takes the stage with a distinguished conductor.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS284 	01:07:21,00 --> 01:07:27,50 	someone sits in a chair and someone takes a seat on the floor.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS346 	01:22:44,00 --> 01:22:50,50 	someone slowly approaches someone as she takes a sip of wine.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS358 	01:26:42,00 --> 01:26:49,50 	someone takes the box and hands it to someone, who places it in the hole.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS75 	00:19:19,00 --> 00:19:35,50 	someone takes out the pen, which transforms into a sword.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS83 	00:20:57,00 --> 00:21:06,50 	glancing around he takes in his surroundings.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS168 	00:36:51,00 --> 00:36:56,50 	he takes a flag on its wooden pole.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS241 	01:04:18,00 --> 01:04:27,50 	she takes down one janitor after another.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS264 	01:08:15,00 --> 01:08:19,50 	they take cover behind the columns.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS269 	01:08:55,00 --> 01:09:00,50 	spews fire and he takes cover again.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS313 	01:18:33,00 --> 01:18:52,50 	she takes down a guard.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS338 	01:23:36,00 --> 01:23:43,50 	as the teens take their seats the ferryman pushes away from the dock.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS358 	01:29:02,00 --> 01:29:08,50 	cloud takes on human form and materializes into someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS371 	01:32:10,00 --> 01:32:16,50 	taking the bolt from someone he retrieves the glowing pearls from his pocket.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS395 	01:36:51,00 --> 01:36:57,50 	he spots a helicopter rising in his direction and takes aim with the bolt.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS413 	01:38:50,00 --> 01:38:55,50 	he takes aim.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS433 	01:41:54,00 --> 01:42:04,50 	the gods obediently take their seats in a semi-circle of white chairs.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS467 	01:51:49,00 --> 01:51:56,50 	our view widens to take in all of the battling demigods on the training field.
PROMETHEUS.srt 	PROMETHEUS_DVS193 	00:13:29,00 --> 00:13:34,50 	she takes clothes from a rack.
PROMETHEUS.srt 	PROMETHEUS_DVS204 	00:14:29,00 --> 00:14:34,50 	he takes a small cigar from his mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS282 	00:28:04,00 --> 00:28:11,50 	as the mohawked man sits, someone takes the seat facing him.
PROMETHEUS.srt 	PROMETHEUS_DVS333 	00:32:12,00 --> 00:32:18,50 	someone takes up the rear, closely observing his surroundings.
PROMETHEUS.srt 	PROMETHEUS_DVS424 	00:43:01,00 --> 00:43:11,50 	holloway takes an atv.
PROMETHEUS.srt 	PROMETHEUS_DVS429 	00:43:32,00 --> 00:43:39,50 	as they take each other's hands amid the whirling shards, an outer door opens on the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS459 	00:48:36,00 --> 00:48:43,50 	holloway takes a swig from a bottle and hops down his perch on a counter.
PROMETHEUS.srt 	PROMETHEUS_DVS476 	00:50:15,00 --> 00:50:24,50 	tensing her jaw, someone takes a deep breath through her nose and moves her hand towards someone's mouth as if to smother him.
PROMETHEUS.srt 	PROMETHEUS_DVS480 	00:50:28,00 --> 00:50:34,50 	he removes the urn he took from the inner chamber.
PROMETHEUS.srt 	PROMETHEUS_DVS506 	00:53:44,00 --> 00:53:48,50 	holloway takes it with a grin.
PROMETHEUS.srt 	PROMETHEUS_DVS507 	00:53:49,00 --> 00:53:54,50 	he takes a sip, then knocks the whole thing back.
PROMETHEUS.srt 	PROMETHEUS_DVS562 	01:03:02,00 --> 01:03:10,50 	the creature's head fans out, takes the shape of a porpoise tail.
PROMETHEUS.srt 	PROMETHEUS_DVS577 	01:04:33,00 --> 01:04:43,50 	he takes a few deep breaths, then removes a gold ring and sets it on the sink.
PROMETHEUS.srt 	PROMETHEUS_DVS665 	01:12:11,00 --> 01:12:18,50 	the android springs from the chair as the engineer takes a seat in it.
