21_JUMP_STREET.srt 	21_JUMP_STREET_DVS120 	00:17:54,00 --> 00:18:02,50 	the captain opens his office window.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS749 	01:44:45,00 --> 01:44:50,50 	the door to someone's room opens.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS60 	00:04:51,00 --> 00:04:58,50 	he opens the marlboros, puts one between his lips and throws the rest of the pack away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS204 	00:25:22,00 --> 00:25:27,50 	she opens the door and steps inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS221 	00:26:51,00 --> 00:26:58,50 	he steps past the cat and opens a refrigerator but finds it empty.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS244 	00:28:46,00 --> 00:28:51,50 	someone opens the front door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS276 	00:32:25,00 --> 00:32:32,50 	someone leads someone into the room where the officer opens a purse.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS432 	00:51:43,00 --> 00:51:49,50 	on a landing someone opens a door and steps into the hall.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS472 	00:54:35,00 --> 00:54:39,50 	he opens the wrapper.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS568 	01:03:02,00 --> 01:03:11,50 	someone opens the first and leafs through pages of plastic sleeved contact sheets.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS570 	01:03:21,00 --> 01:03:28,50 	now, someone opens his apartment door to find someone in the hallway with her head bowed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS696 	01:16:51,00 --> 01:17:00,50 	she opens the door a crack and peeks out, but someone yanks it wide open.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS703 	01:17:37,00 --> 01:17:47,50 	meanwhile, someone opens a dresser drawer, takes out her taser and stuffs it in her back pocket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS706 	01:17:58,00 --> 01:18:06,50 	someone opens the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS804 	01:32:26,00 --> 01:32:33,50 	she sits beside him on the couch as he puts on his glasses and opens the album.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS914 	01:41:53,00 --> 01:41:58,50 	now a file folder opens on a laptop screen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS963 	01:46:46,00 --> 01:46:52,50 	she opens another labeled 1957.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS973 	01:47:20,00 --> 01:47:26,50 	then opens a spreadsheet charting the serial murder details.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1037 	01:51:16,00 --> 01:51:22,50 	we watch from outside as he goes to the bedroom and peeks through a partially opened door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1054 	01:52:11,00 --> 01:52:17,50 	he cautiously approaches the room, opens its glass door and enters.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1073 	01:53:14,00 --> 01:53:21,50 	someone gets out of his suv and opens one of its back doors.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1085 	01:53:50,00 --> 01:53:56,50 	someone opens the bedroom door and slips out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1133 	01:58:30,00 --> 01:58:35,50 	the door swings open into a dark space.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1362 	02:26:26,00 --> 02:26:30,50 	she opens her purse.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1405 	02:31:04,00 --> 02:31:10,50 	turning his back to the tv he opens a newspaper.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS58 	00:16:43,00 --> 00:16:51,50 	in his room, someone opens his laptop and types "j&r advertising" into a bing search engine.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS116 	00:42:44,00 --> 00:42:51,50 	someone opens her mouth as if to say something else, but stops herself.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS252 	01:23:52,00 --> 01:23:57,50 	a man in his thirties opens the door.
THE_SITTER.srt 	THE_SITTER_DVS28 	00:13:48,00 --> 00:13:53,50 	someone opens the door to a pair of redheaded twins.
THE_SITTER.srt 	THE_SITTER_DVS155 	01:16:13,00 --> 01:16:17,50 	he opens side door for her.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS96 	00:31:07,00 --> 00:31:35,50 	spinning around, he takes a seat and opens it.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS198 	01:19:46,00 --> 01:19:52,50 	then someone opens the fridge.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS223 	01:29:38,00 --> 01:29:45,50 	someone opens the door and finds someone outside in the rain.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS292 	01:47:52,00 --> 01:47:59,50 	guest opens the door to two policemen.
THE_VOW.srt 	THE_VOW_DVS48 	00:03:39,00 --> 00:03:49,50 	the husband briefly opens his eyes.
THE_VOW.srt 	THE_VOW_DVS59 	00:04:51,00 --> 00:04:56,50 	she opens her car door.
THE_VOW.srt 	THE_VOW_DVS75 	00:06:40,00 --> 00:06:45,50 	he gestures and she opens the gift.
THE_VOW.srt 	THE_VOW_DVS250 	00:31:26,00 --> 00:31:34,50 	now, a door opens to reveal someone wearing a chicago cubs sweatshirt and a sporty ponytail.
THE_VOW.srt 	THE_VOW_DVS253 	00:31:46,00 --> 00:31:50,50 	she opens a cabinet.
THE_VOW.srt 	THE_VOW_DVS254 	00:31:53,00 --> 00:32:00,50 	someone continues through the kitchen, opening the high cabinets one at a time.
THE_WATCH.srt 	THE_WATCH_DVS38 	00:05:17,00 --> 00:05:23,50 	he crosses to a circuit breaker panel and opens its door.
THE_WATCH.srt 	THE_WATCH_DVS73 	00:09:50,00 --> 00:09:55,50 	the officer opens the blood-spattered door.
THE_WATCH.srt 	THE_WATCH_DVS102 	00:13:01,00 --> 00:13:07,50 	someone opens the door for a bushy-haired black man with glasses.
THE_WATCH.srt 	THE_WATCH_DVS103 	00:13:41,00 --> 00:13:45,50 	he opens a nesting doll.
THE_WATCH.srt 	THE_WATCH_DVS112 	00:18:01,00 --> 00:18:06,50 	now, at a large home with a brick facade, someone opens a door.
THE_WATCH.srt 	THE_WATCH_DVS136 	00:26:11,00 --> 00:26:15,50 	someone opens the can.
THE_WATCH.srt 	THE_WATCH_DVS222 	00:41:57,00 --> 00:42:04,50 	pinching one end in his fingertips, he opens a trash bin and chucks it in.
THE_WATCH.srt 	THE_WATCH_DVS305 	00:54:14,00 --> 00:54:19,50 	someone opens a door.
THE_WATCH.srt 	THE_WATCH_DVS379 	01:06:48,00 --> 01:06:55,50 	at the high school party, a blond girl opens the door for someone and someone.
THE_WATCH.srt 	THE_WATCH_DVS396 	01:11:36,00 --> 01:11:41,50 	someone opens the front door for someone.
THE_WATCH.srt 	THE_WATCH_DVS399 	01:12:14,00 --> 01:12:21,50 	someone opens the door and someone steps inside as someone shifts his weight in the driveway.
THE_WATCH.srt 	THE_WATCH_DVS423 	01:17:12,00 --> 01:17:17,50 	someone opens the basement door.
THE_WATCH.srt 	THE_WATCH_DVS440 	01:20:25,00 --> 01:20:33,50 	someone opens the driver's door and steps out, admiring the big costco wholesale sign over the front doors.
THE_WATCH.srt 	THE_WATCH_DVS514 	01:30:34,00 --> 01:31:11,50 	as an alien lunges forward, a shot blasts open its groin.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS19 	00:02:42,00 --> 00:02:47,50 	opening it, she finds earrings inside.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS40 	00:11:29,00 --> 00:11:33,50 	stretching, he opens his eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS98 	00:29:31,00 --> 00:29:37,50 	keeping his eyes on her, someone opens the car's gull-wing door.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS124 	00:36:01,00 --> 00:36:09,50 	at the ritz-carlton residences, two suited men open the front double doors for someone as she strides out,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS138 	00:37:12,00 --> 00:37:15,50 	he opens her door.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS173 	00:43:48,00 --> 00:43:52,50 	the door opens.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS177 	00:44:50,00 --> 00:44:55,50 	with a cool look, she opens the door.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS271 	01:14:54,00 --> 01:14:59,50 	now someone opens the loft door for someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS319 	01:21:52,00 --> 01:21:56,50 	he opens her door.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS334 	01:23:22,00 --> 01:23:26,50 	someone opens his eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS369 	01:28:51,00 --> 01:28:59,50 	with a dejected look, she opens it and reads, someone, ran out for breakfast.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS372 	01:29:06,00 --> 01:29:11,50 	she opens a drawer in a bedside table.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS376 	01:29:28,00 --> 01:29:35,50 	she opens it to a bookmarked chapter with its heading circled: the 90-day rule.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS383 	01:30:36,00 --> 01:30:41,50 	someone opens his mouth as if to speak.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS393 	01:34:10,00 --> 01:34:14,50 	she opens her mouth.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS411 	01:36:06,00 --> 01:36:14,50 	he uncomfortably averts his eyes, then opens the driver's side door and a businessman climbs out.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS455 	01:44:59,00 --> 01:45:07,50 	someone opens and holds out a jewelry box.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS22 	00:03:05,00 --> 00:03:29,50 	the briefcase of money opens as it hits the ground.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS281 	00:52:26,00 --> 00:52:31,50 	someone starts to open it.
THOR.srt 	THOR_DVS36 	00:04:04,00 --> 00:04:12,50 	at the head of an army of bare chested humanoids, one frost giant opens a box which emits and icy blue light.
THOR.srt 	THOR_DVS43 	00:04:50,00 --> 00:05:00,50 	the giant's leader opens his box freezing two warriors solid,
THOR.srt 	THOR_DVS113 	00:16:48,00 --> 00:16:57,50 	an elongated pyramid atop the dome tilts toward the horizon and opens like a flower.
THOR.srt 	THOR_DVS224 	00:30:10,00 --> 00:30:15,50 	lying on the ground, someone opens his eyes.
THOR.srt 	THOR_DVS336 	00:50:01,00 --> 00:50:09,50 	he crosses the room and selects a book from a cart, then puts it down and opens a thicker volume beside it.
THOR.srt 	THOR_DVS403 	01:00:43,00 --> 01:00:51,50 	in the dark research lab, someone holds open a book with an illustration of someone's hammer.
THOR.srt 	THOR_DVS441 	01:11:28,00 --> 01:11:33,50 	she jumps up and opens the door to her mobile home.
THOR.srt 	THOR_DVS455 	01:14:06,00 --> 01:14:12,50 	someone opens the journal to a sketch of stars and planets.
THOR.srt 	THOR_DVS486 	01:20:25,00 --> 01:20:36,50 	someone raised his sword, but someone unveils the casket and opens it.
THOR.srt 	THOR_DVS512 	01:22:58,00 --> 01:23:04,50 	the mechanical giant looms over someone, and opens its visor.
THOR.srt 	THOR_DVS560 	01:28:20,00 --> 01:28:25,50 	shuddering with electricity, someone opens his eyes.
THOR.srt 	THOR_DVS661 	01:39:13,00 --> 01:39:19,50 	lying in his bed, someone opens his eyes.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS376 	00:41:12,00 --> 00:41:16,50 	and old man opens the front door.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS461 	00:49:54,00 --> 00:49:58,50 	someone opens his eyes and glares at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS484 	00:52:51,00 --> 00:52:56,50 	he opens a display pouch and shows magic supplies.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS545 	01:00:11,00 --> 01:00:20,50 	later, a door to the rink opens.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS649 	01:11:44,00 --> 01:11:49,50 	opening up, he finds someone outside.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS735 	01:20:48,00 --> 01:20:57,50 	as someone watches soberly, a sparkling swirling vortex opens just beneath the ceiling.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS792 	01:24:44,00 --> 01:24:50,50 	opening his eyes, he flourishes the wand and sparkling light trails from its tip.
TRUE_GRIT.srt 	TRUE_GRIT_DVS40 	00:05:50,00 --> 00:05:54,50 	the trap door opens.
TRUE_GRIT.srt 	TRUE_GRIT_DVS230 	00:48:28,00 --> 00:48:34,50 	someone opens his coat revealing his pistol holstered at his side.
TRUE_GRIT.srt 	TRUE_GRIT_DVS258 	00:53:18,00 --> 00:53:21,50 	the door opens.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS188 	00:14:26,00 --> 00:14:31,50 	someone knocks on the door, then opens it.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS267 	00:25:42,00 --> 00:25:47,50 	she heads over and opens it with a toothy grin.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS269 	00:25:50,00 --> 00:25:56,50 	the doctor opens his door and finds her dancing on his porch.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS407 	00:49:43,00 --> 00:49:47,50 	someone opens the card.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS410 	00:49:59,00 --> 00:50:05,50 	she opens an information flap on the box.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS423 	00:51:17,00 --> 00:51:24,50 	stowing the remote inside, she opens up and finds someone and someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS499 	01:04:14,00 --> 01:04:20,50 	as a valet opens the door, someone pays the driver.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS560 	01:14:31,00 --> 01:14:40,50 	now someone opens the door to her room.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS565 	01:15:02,00 --> 01:15:09,50 	she opens it to find someone standing outside.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS57 	00:10:58,00 --> 00:11:06,50 	at home, someone opens the fridge to reveal stacks of plastic containers with notes on them.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS70 	00:12:28,00 --> 00:12:35,50 	furrowing his brow, he opens the book to a pair of skillfully drawn sketches.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS154 	00:26:15,00 --> 00:26:21,50 	he opens it and their beagle darts in past the cluttered counters.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS203 	00:34:24,00 --> 00:34:30,50 	noticing someone, someone opens his arms.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS300 	00:47:48,00 --> 00:47:52,50 	someone opens the front door.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS467 	01:13:44,00 --> 01:13:49,50 	he glances away, then opens his mouth wide.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS476 	01:14:35,00 --> 01:14:40,50 	opening it, he puts on his glasses.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS480 	01:14:47,00 --> 01:14:56,50 	clicking it, someone opens an album displaying thumbnail images of family photos.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS481 	01:14:54,00 --> 01:14:57,50 	he opens the first one, then selects full screen.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS586 	01:29:49,00 --> 01:29:55,50 	spar opens his eyes a slit and blinks heavily.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS623 	01:32:34,00 --> 01:32:42,50 	someone imagines her opening her eyes, her chest rises and falls beneath the sheet.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS680 	01:39:17,00 --> 01:39:23,50 	now, someone arrives at someone's enclosure and opens the gate.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS682 	01:39:31,00 --> 01:39:37,50 	opening the gate again, she turns the key extending a deadbolt.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS751 	01:47:27,00 --> 01:47:35,50 	elsewhere, someone opens a flask in his living quarters and finds the vessel empty.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS825 	01:55:35,00 --> 01:55:50,50 	and someone opens his mouth.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS58 	00:04:51,00 --> 00:04:57,50 	now an elevator opens and someone hurries out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS78 	00:06:40,00 --> 00:06:48,50 	she opens her magazine to a feature titled "ten glam looks for office to evening."
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS86 	00:07:38,00 --> 00:07:46,50 	glancing around, she opens it and heads a blank page with the words "people i've slept with."
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS97 	00:08:28,00 --> 00:08:34,50 	now a door opens and someone steps inside a foyer.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS179 	00:20:22,00 --> 00:20:27,50 	someone opens the door to her neighbor.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS219 	00:27:42,00 --> 00:27:48,50 	someone grabs a sheet of paper and spies someone opening his door.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS229 	00:29:12,00 --> 00:29:16,50 	he opens the door.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS287 	00:40:25,00 --> 00:40:31,50 	with a wide grin, someone opens her mouth to speak.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS312 	00:44:14,00 --> 00:44:22,50 	in a flashback, a teenaged someone with chin-length hair and bangs opens her front door.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS467 	01:05:55,00 --> 01:06:00,50 	he opens her shirt, looks at her naked body,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS138 	00:08:55,00 --> 00:09:01,50 	keeping an arm around the boy, he opens the lab door.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS245 	00:18:53,00 --> 00:19:00,50 	it opens up on a warmly lit study furnished in polished wood and brown leather.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS254 	00:19:38,00 --> 00:19:44,50 	the man opens his hand, producing a miniature cyclone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS442 	00:39:02,00 --> 00:39:08,50 	he opens it and pulls out a sleek shiny helmet the color of pewter
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS453 	00:39:52,00 --> 00:39:57,50 	opening the door, she heads into the submarine bridge.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS514 	00:47:20,00 --> 00:47:25,50 	the warden opens a cell.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS530 	00:48:45,00 --> 00:48:52,50 	she opens a small metal box on a desk and pushes a button inside.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS540 	00:50:39,00 --> 00:50:44,50 	he opens his mouth and breathe
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS683 	01:02:06,00 --> 01:02:13,50 	someone opens the curtains.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS832 	01:16:10,00 --> 01:16:17,50 	opening it, he finds the bunker's arch-shaped support beams in flames.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS892 	01:21:09,00 --> 01:21:15,50 	someone opens his eyes and brushes a tear from his own cheek.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS912 	01:23:52,00 --> 01:23:59,50 	grinning, someone opens it and finds two syringes with needles inside.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1017 	01:31:39,00 --> 01:31:52,50 	someone opens a crate marked "x."
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1096 	01:39:13,00 --> 01:39:22,50 	someone jumps out of the jet, opens the winged arms of his suit, then soars off his sound waves high into the air.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1105 	01:39:55,00 --> 01:40:02,50 	now in the mirrored chamber, a doorway opens revealing someone's office.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1141 	01:42:07,00 --> 01:42:16,50 	a hatch on top of the sub opens and someone's dark-haired cohort climbs out wearing a tailored purple suit.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS25 	00:02:51,00 --> 00:02:57,50 	she minimizes her word processor program and opens an email inbox.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS28 	00:03:07,00 --> 00:03:14,50 	she blinks slowly then opens another email with an attached photo of a newborn baby.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS34 	00:03:41,00 --> 00:03:47,50 	the woman opens her printer and removes a toner cartridge.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS45 	00:06:01,00 --> 00:06:08,50 	she opens the email of the baby announcement and stares at the infant's photo.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS54 	00:07:37,00 --> 00:07:44,50 	someone rummages through dresser drawers and plastic bins then opens a cardboard box.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS83 	00:12:24,00 --> 00:12:30,50 	she opens her suitcase and drops some clothing onto the floor.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS91 	00:13:20,00 --> 00:13:25,50 	inside a convenience store, she opens a freezer case
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS124 	00:22:34,00 --> 00:22:41,50 	she opens a bottle of diet soda and clutches it with both hands as she drinks.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS174 	00:33:40,00 --> 00:33:45,50 	someone's sister opens the door.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS183 	00:34:52,00 --> 00:35:00,50 	he opens the garage door revealing an elaborate contraption of pipes, hoses, tanks, valves, and buckets.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS203 	00:39:01,00 --> 00:39:08,50 	back in her hotel, someone opens her bathroom door and turns on the light.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS217 	00:40:42,00 --> 00:40:47,50 	someone opens one book and signs the title page.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS383 	01:14:06,00 --> 01:14:11,50 	someone covers her face as the garage door opens.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS421 	01:21:17,00 --> 01:21:23,50 	she opens her eyes and glances at him then slowly slides out of bed.
ZOMBIELAND.srt 	ZOMBIELAND_DVS81 	00:06:40,00 --> 00:06:48,50 	as the narrators opens his shotgun's chamber, the infected man grabs at him through the hole in the windshield.
ZOMBIELAND.srt 	ZOMBIELAND_DVS151 	00:14:04,00 --> 00:14:11,50 	he opens up.
ZOMBIELAND.srt 	ZOMBIELAND_DVS265 	00:29:23,00 --> 00:29:30,50 	someone cautiously opens the door and finds the hands gnawed off at the forearm.
ZOMBIELAND.srt 	ZOMBIELAND_DVS271 	00:29:49,00 --> 00:29:54,50 	opening the sack, the guys find it loaded with guns.
ZOMBIELAND.srt 	ZOMBIELAND_DVS293 	00:32:53,00 --> 00:32:59,50 	he opens the passenger door and gets in.
ZOMBIELAND.srt 	ZOMBIELAND_DVS321 	00:36:13,00 --> 00:36:17,50 	she opens the glove box.
ZOMBIELAND.srt 	ZOMBIELAND_DVS351 	00:40:15,00 --> 00:40:22,50 	as he opens the door, someone uneasily licks her lips then locks eyes with him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS418 	00:48:17,00 --> 00:48:23,50 	now in a kitchen, little someone opens a nearly empty cupboard.
ZOMBIELAND.srt 	ZOMBIELAND_DVS555 	01:05:10,00 --> 01:05:18,50 	she opens a door labeled with a voltage sign.
ZOMBIELAND.srt 	ZOMBIELAND_DVS734 	01:19:32,00 --> 01:19:38,50 	as they separate, someone opens her eyes and gazes at someone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS29 	00:04:40,00 --> 00:04:46,50 	he unlocks a door which opens at the pit's floor level.
ZOOKEEPER.srt 	ZOOKEEPER_DVS42 	00:07:03,00 --> 00:07:07,50 	he opens a drawer and rifles through it.
ZOOKEEPER.srt 	ZOOKEEPER_DVS344 	01:16:54,00 --> 01:17:04,50 	later, someone slides open the door to someone's enclosure and peers inside.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	shrugging his hands, the former zookeeper opens his mouth to speak then licks his lips and takes a step toward the door.
ZOOKEEPER.srt 	ZOOKEEPER_DVS360 	01:20:51,00 --> 01:21:00,50 	as he draws closer, he opens his mouth.
ZOOKEEPER.srt 	ZOOKEEPER_DVS379 	01:23:59,00 --> 01:24:04,50 	she opens a velvet box.
