21_JUMP_STREET.srt 	21_JUMP_STREET_DVS54 	00:05:43,00 --> 00:05:48,50 	a boy defiantly holds out torn bread.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS330 	01:02:45,00 --> 01:02:59,50 	someone rushes into the office and holds his gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS352 	01:06:58,00 --> 01:07:05,50 	on and leans against a wall as she holds the receiver to her ear.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS393 	01:15:52,00 --> 01:16:01,50 	outside, homer grabs a man and holds him hostage.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS415 	01:20:07,00 --> 01:20:11,50 	he holds out someone's share.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS484 	01:31:38,00 --> 01:31:44,50 	coming car while holding up one hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS556 	01:44:05,00 --> 01:44:13,50 	she holds her knees together.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS565 	01:45:34,00 --> 01:45:39,50 	she holds a telephone at her shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS578 	01:47:39,00 --> 01:47:45,50 	as she holds her wrists, someone leans over to her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS652 	02:03:16,00 --> 02:03:45,50 	from his breast pocket, he produces a cigar and holds it ready.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS668 	02:05:32,00 --> 02:05:40,50 	agent scowls, holding his aim as he gains on the crime boss.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS114 	00:29:07,00 --> 00:29:16,50 	by the king's horse, someone holds the crown aloft.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS120 	00:31:19,00 --> 00:31:25,50 	sitting on a bench, someone holds him in an appraising gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS147 	00:37:33,00 --> 00:37:39,50 	a band master holds up his hand and four drummers stop.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS152 	00:38:10,00 --> 00:38:17,50 	reaching her, he drops to one knee and holds out the covered crown.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS154 	00:38:33,00 --> 00:38:41,50 	someone and his comrade join the crowd and see the queen holding the fallen monarch's battle crown.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS161 	00:39:45,00 --> 00:39:55,50 	king someone removes one of his rings and holds it up.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS222 	00:52:46,00 --> 00:52:53,50 	holding someone's sword, someone shifts his eyes thoughtfully, then gives a nod.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS336 	01:22:32,00 --> 01:22:49,50 	with glistening eyes, someone looks down to find someone holding a dagger to her own heart.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS378 	01:33:22,00 --> 01:33:29,50 	he holds someone's hand and rests his brow upon it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	with a mournful gaze, one them holds out sir someone's sword.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS449 	01:51:49,00 --> 01:52:04,50 	she holds up the sword and hangs her head.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS450 	01:52:07,00 --> 01:52:31,50 	one hand holds his sword upon his chest.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS485 	02:00:51,00 --> 02:00:56,50 	someone resolutely holds
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS511 	02:07:23,00 --> 02:07:46,50 	king someone hold his hand as they walk side by side into the towers outer courtyard.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS276 	00:42:00,00 --> 00:42:06,50 	holding a salad bowl, someone wears a silly grin on his way to the dining room.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS284 	00:44:24,00 --> 00:44:30,50 	he holds his brother's gaze then pulls the door shut.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS339 	00:55:07,00 --> 00:55:14,50 	she finds her son sleeping on his back, holding the book over his chest.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS343 	00:55:44,00 --> 00:55:50,50 	holding the dog, someone copies his blank droopy stare.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS344 	00:55:52,00 --> 00:56:00,50 	he holds glasses over someone's eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS354 	00:57:34,00 --> 00:57:40,50 	standing beside a preppy man, she holds a trophy.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS363 	00:59:06,00 --> 00:59:13,50 	holding a cooking utensil in each hand, someone drops them on a plate.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS410 	01:04:18,00 --> 01:04:26,50 	now in bed, someone lies naked on top of someone as he holds her blissfully.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS423 	01:05:36,00 --> 01:05:42,50 	at a box office, she holds him tight and stares up at his face.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS498 	01:17:21,00 --> 01:17:25,50 	someone holds his gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS616 	01:30:01,00 --> 01:30:07,50 	then holds his manuscript close.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS668 	01:36:18,00 --> 01:36:23,50 	now dr. rosenthal holds a copy of the book.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS679 	01:38:55,00 --> 01:39:00,50 	smiling, she holds his gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS682 	01:39:20,00 --> 01:39:25,50 	she holds his gaze.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	someone holds her by the crook of her elbow.
SALT.srt 	SALT_DVS270 	00:47:34,00 --> 00:47:46,50 	in front of him, dozens of men and women in the choir wear white robes and hold songbooks as they sing soberly.
SALT.srt 	SALT_DVS300 	00:52:44,00 --> 00:52:48,50 	her calm aim, hold steady.
SALT.srt 	SALT_DVS375 	01:06:57,00 --> 01:07:12,50 	holding her gun at a ready, she steps to the edge of the stairwell.
SALT.srt 	SALT_DVS397 	01:09:34,00 --> 01:09:40,50 	someone holds her palms together as he cups her hands in his.
SALT.srt 	SALT_DVS455 	01:18:12,00 --> 01:18:27,50 	the secretary of defense holds a phone receiver in each hand.
SANCTUM.srt 	SANCTUM_DVS62 	00:14:07,00 --> 00:14:12,50 	she holds his hands.
SANCTUM.srt 	SANCTUM_DVS152 	00:31:49,00 --> 00:31:56,50 	with his head bowed, he holds the bottle out to someone who takes it and drinks.
SANCTUM.srt 	SANCTUM_DVS261 	00:53:53,00 --> 00:54:11,50 	grabs hold and jerks at it.
SANCTUM.srt 	SANCTUM_DVS337 	01:07:15,00 --> 01:07:28,50 	he holds his hand before it to verify.
SANCTUM.srt 	SANCTUM_DVS381 	01:15:27,00 --> 01:15:32,50 	someone meets his gaze and holds it.
SANCTUM.srt 	SANCTUM_DVS406 	01:19:10,00 --> 01:19:16,50 	but finds the cave ceiling above, holding him underwater.
SANCTUM.srt 	SANCTUM_DVS452 	01:24:59,00 --> 01:25:11,50 	holding its button down, he creeps forward, no longer crawling but crouched under the low ceiling.
SANCTUM.srt 	SANCTUM_DVS475 	01:28:27,00 --> 01:28:42,50 	holding his makeshift torch, someone glances around and follows his son into a tunnel.
SANCTUM.srt 	SANCTUM_DVS481 	01:29:18,00 --> 01:29:27,50 	now with their torches held out, the climbers take careful steps shuffling across muddy ground.
SANCTUM.srt 	SANCTUM_DVS505 	01:34:29,00 --> 01:34:36,50 	young man turns to see someone rising to his feet nearby holding a glow stick.
SANCTUM.srt 	SANCTUM_DVS525 	01:37:45,00 --> 01:37:53,50 	someone struggles to hold back sobs.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS89 	00:06:32,00 --> 00:06:37,50 	she takes the bag and holds it up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS131 	00:08:36,00 --> 00:08:43,50 	holding someone's hand, someone leads her through a doorway and across a small courtyard.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS144 	00:09:39,00 --> 00:09:44,50 	clutching it, someone also holds an umbrella.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS172 	00:12:40,00 --> 00:12:45,50 	she takes it from its bag and holds it up with a frown.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS188 	00:13:38,00 --> 00:13:47,50 	another adult firmly holds the tearful recoiling girl's shoulder as the person continues binding her feet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS189 	00:13:45,00 --> 00:13:50,50 	the girl looks to the woman holding her shoulder.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS223 	00:15:33,00 --> 00:15:40,50 	crisscrossed bandages around someone's ankles hold her bindings tight.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS338 	00:23:09,00 --> 00:23:16,50 	behind them, someone holds someone's arm and guides her outside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS366 	00:24:27,00 --> 00:24:34,50 	reaching into the loose sleeve of her robe, someone withdraws a folded paper fan and holds it out to her friend.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS395 	00:26:20,00 --> 00:26:26,50 	someone tries to pull it away, but he holds tight.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS399 	00:26:40,00 --> 00:26:45,50 	someone tries to pull it away but he holds firm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS435 	00:28:56,00 --> 00:29:02,50 	walking deeper into the room, someone eyes a display podium holding pairs of tiny lotus shoes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS680 	00:44:32,00 --> 00:44:36,50 	she holds her father's hands.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS685 	00:44:45,00 --> 00:44:51,50 	someone holds her father tight and gazes off thoughtfully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS686 	00:44:51,00 --> 00:44:56,50 	now holding three incense sticks,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1166 	01:19:08,00 --> 01:19:14,50 	she holds the folded fan out to the noblewoman.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1249 	01:23:53,00 --> 01:23:58,50 	from across the room, the two women of different eras hold each other's gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1295 	01:29:23,00 --> 01:29:29,50 	the finely-tailored garment unfolds gracefully as she holds it up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1384 	01:34:17,00 --> 01:34:22,50 	she stretches her arm over her friend and holds her gently.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1433 	01:37:13,00 --> 01:37:20,50 	at home, facing a window, someone holds the fan and traces characters with her fingertip on the glass pane.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1448 	01:38:10,00 --> 01:38:16,50 	and holds her gaze with a plain and tranquil expression.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS44 	00:09:10,00 --> 00:09:25,50 	as someone holds the tiny dragon in his palm, it comes to life, sleepily shakes its head, and flaps its metal wings.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS76 	00:14:37,00 --> 00:15:01,50 	among the angry and fearful faces, a man with shaggy hair like someone's grips the shoulder of a goateed man holding a cane aloft.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS144 	00:28:07,00 --> 00:28:15,50 	someone holds someone's gaze.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS240 	00:47:24,00 --> 00:47:31,50 	he holds up his fists.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS381 	01:21:03,00 --> 01:21:09,50 	he holds out his right fist, which bears someone's ring.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS399 	01:23:51,00 --> 01:24:02,50 	back in the foyer, someone holds out someone's ring and someone magically snatches it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS416 	01:28:04,00 --> 01:28:12,50 	he glances at someone, then holds up the drop-pendant necklace and anxiously knits his brow.
SOUL_SURFER.srt 	SOUL_SURFER_DVS34 	00:12:00,00 --> 00:12:04,50 	someone holds the top over her eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS84 	00:27:53,00 --> 00:28:15,50 	a nurse holds him back.
SOUL_SURFER.srt 	SOUL_SURFER_DVS84 	00:27:53,00 --> 00:28:15,50 	someone holds the defibrillator to the girl's chest inside.
SOUL_SURFER.srt 	SOUL_SURFER_DVS160 	00:47:58,00 --> 00:48:02,50 	assistants hold towels up around.
SOUL_SURFER.srt 	SOUL_SURFER_DVS182 	00:55:32,00 --> 00:55:44,50 	she holds up a barbie doll.
SOUL_SURFER.srt 	SOUL_SURFER_DVS207 	01:08:07,00 --> 01:08:15,50 	as she holds someone's hands, his eyes fill with tears and his lips tremble.
SOUL_SURFER.srt 	SOUL_SURFER_DVS232 	01:11:41,00 --> 01:11:51,50 	inside someone observes a young woman holding a baby goat in her arms.
SOUL_SURFER.srt 	SOUL_SURFER_DVS245 	01:14:01,00 --> 01:14:10,50 	briefly holds her own face as she breaks into sobs but tears slides down her cheek.
SPARKLE_2012.srt 	SPARKLE_2012_DVS119 	00:19:16,00 --> 00:19:25,50 	later, someone rides his motorcycle through a reflective white tiled tunnel as someone holds on to him from behind.
SPARKLE_2012.srt 	SPARKLE_2012_DVS160 	00:27:31,00 --> 00:27:40,50 	someone walks back to his friends where someone holds his pretty date on his lap.
SPARKLE_2012.srt 	SPARKLE_2012_DVS204 	00:32:23,00 --> 00:32:30,50 	on stage, the lead singer holds her hand to her ear like a telephone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS266 	00:41:27,00 --> 00:41:32,50 	someone holds her gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS290 	00:48:14,00 --> 00:48:19,50 	holding her daughter's gaze, someone shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS311 	00:52:02,00 --> 00:52:08,50 	holding back tears, someone separates from sister.
SPARKLE_2012.srt 	SPARKLE_2012_DVS315 	00:52:18,00 --> 00:52:25,50 	waiting near the front door with a huge smile, someone holds her white fur coat.
SPARKLE_2012.srt 	SPARKLE_2012_DVS320 	00:52:53,00 --> 00:53:00,50 	now at night, someone mounts someone's motorcycle, holding him tight.
SPARKLE_2012.srt 	SPARKLE_2012_DVS337 	00:55:05,00 --> 00:55:10,50 	someone holds in a giggle.
SPARKLE_2012.srt 	SPARKLE_2012_DVS349 	00:58:24,00 --> 00:58:30,50 	at home in front of the tv, someone snores on the couch holding a teacup.
SPARKLE_2012.srt 	SPARKLE_2012_DVS371 	01:03:07,00 --> 01:03:12,50 	someone sneers at someone, who holds her ground.
SPARKLE_2012.srt 	SPARKLE_2012_DVS396 	01:07:34,00 --> 01:07:41,50 	someone holds her journal at her side, with one trembling black gloved hand.
SPARKLE_2012.srt 	SPARKLE_2012_DVS399 	01:07:51,00 --> 01:08:00,50 	now on someone's balcony, sister wearing a white feather-trimmed robe, holds a drink as she reads a magazine.
SPARKLE_2012.srt 	SPARKLE_2012_DVS420 	01:10:13,00 --> 01:10:20,50 	someone holds him back.
SPARKLE_2012.srt 	SPARKLE_2012_DVS423 	01:10:31,00 --> 01:10:38,50 	outside in slow motion, someone struggles to hold back a hopping mad someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS429 	01:11:03,00 --> 01:11:08,50 	as someone holds the door open for her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS499 	01:20:49,00 --> 01:20:56,50 	we fade to a black and white snapshot of sister she holds in her hands.
SPARKLE_2012.srt 	SPARKLE_2012_DVS528 	01:27:05,00 --> 01:27:09,50 	each of them holding a phone receiver.
SPARKLE_2012.srt 	SPARKLE_2012_DVS551 	01:30:48,00 --> 01:30:54,50 	the patient young woman holds her purse over her lap, wearing a leather jacket.
SPARKLE_2012.srt 	SPARKLE_2012_DVS562 	01:32:39,00 --> 01:32:43,50 	someone holds her gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS598 	01:38:31,00 --> 01:38:35,50 	he beams and holds it out.
SUPER_8.srt 	SUPER_8_DVS75 	00:11:37,00 --> 00:11:44,50 	as someone steps out and hurries toward the depot, the boy wearing glasses holds up script pages.
SUPER_8.srt 	SUPER_8_DVS79 	00:12:24,00 --> 00:12:30,50 	opening a tackle box holding makeup, someone stands in front of someone.
SUPER_8.srt 	SUPER_8_DVS97 	00:16:38,00 --> 00:16:46,50 	holding a boom microphone, someone smiles as the train zips past a few feet away.
SUPER_8.srt 	SUPER_8_DVS130 	00:19:50,00 --> 00:19:55,50 	holding one hand over his heart preston turns.
SUPER_8.srt 	SUPER_8_DVS138 	00:20:49,00 --> 00:20:56,50 	grinning, someone holds up his destroyed makeup kit then tucks the locket necklace into his pocket.
SUPER_8.srt 	SUPER_8_DVS151 	00:23:59,00 --> 00:24:05,50 	a group of people holding flashlights approaches in a distance.
SUPER_8.srt 	SUPER_8_DVS162 	00:25:56,00 --> 00:26:02,50 	someone holds out one of the white cubes which is comprised of smaller cubes, someone takes it.
SUPER_8.srt 	SUPER_8_DVS179 	00:30:10,00 --> 00:30:15,50 	holding a script someone stands on someone's front porch.
SUPER_8.srt 	SUPER_8_DVS234 	00:40:01,00 --> 00:40:06,50 	jerking, she holds up her hands and steps closer.
SUPER_8.srt 	SUPER_8_DVS302 	00:54:08,00 --> 00:54:14,50 	someone holds up his mother's necklace and peers inside the open locket.
SUPER_8.srt 	SUPER_8_DVS316 	00:56:46,00 --> 00:56:52,50 	restraints hold someone's arms and legs as he spasms,
SUPER_8.srt 	SUPER_8_DVS325 	00:58:51,00 --> 00:58:57,50 	on a screen, a brown-haired woman smiles as she holds an infant boy.
SUPER_8.srt 	SUPER_8_DVS397 	01:12:14,00 --> 01:12:19,50 	with his shirt unbuttoned someone waits in a holding cell.
SUPER_8.srt 	SUPER_8_DVS445 	01:19:21,00 --> 01:19:28,50 	preston holds up a film reel.
SUPER_8.srt 	SUPER_8_DVS447 	01:19:36,00 --> 01:19:41,50 	in a holding cell at the back of the bus,
SUPER_8.srt 	SUPER_8_DVS457 	01:20:46,00 --> 01:20:52,50 	someone holds the rifle in front of someone who glances at someone then takes the gun.
SUPER_8.srt 	SUPER_8_DVS464 	01:21:35,00 --> 01:21:41,50 	the rifle fires a dart which strikes the glass door of the holding cell cracking it.
SUPER_8.srt 	SUPER_8_DVS477 	01:22:46,00 --> 01:22:54,50 	as someone returns to the holding cell door someone approaches and pulls on it from the opposite side.
SUPER_8.srt 	SUPER_8_DVS491 	01:24:09,00 --> 01:24:17,50 	someone backs up toward the holding cell door, he shakes the rifle as it runs out of ammunition.
SUPER_8.srt 	SUPER_8_DVS498 	01:24:56,00 --> 01:25:01,50 	holding his pack someone climbs out of the bus.
SUPER_8.srt 	SUPER_8_DVS626 	01:41:32,00 --> 01:41:40,50 	someone stares at the locket which opens revealing a photograph of someone's brunette mother holding someone as a baby.
SUPER_8.srt 	SUPER_8_DVS636 	01:42:41,00 --> 01:42:48,50 	on a sidewalk, someone hobbles along and holds onto someone as they gaze up at the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS68 	00:09:19,00 --> 00:09:24,50 	snowy holds a magnifying glass in his mouth.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS231 	00:35:48,00 --> 00:35:57,50 	someone glances at snowy then picks up the dog and holds him out toward the keys.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS260 	00:39:03,00 --> 00:39:08,50 	meanwhile out on the deck, someone holds the lifeboat steady.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS309 	00:47:27,00 --> 00:47:38,50 	the inspectors hold a wallet labeled property of someone pinched on 17-9.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS336 	00:52:10,00 --> 00:52:17,50 	someone holds one hand over his chest.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS433 	01:02:36,00 --> 01:02:41,50 	and holding a flashlight steps up to snowy.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS434 	01:02:42,00 --> 01:02:47,50 	another man holds a lantern.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS437 	01:03:22,00 --> 01:03:27,50 	someone sits on a bed and holds a glass.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS478 	01:09:10,00 --> 01:09:16,50 	sir someone lunges, strikes red someone, then slices another rope holding a lantern.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS484 	01:09:47,00 --> 01:09:52,50 	holding a sword, someone stands over someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS493 	01:10:59,00 --> 01:11:05,50 	he holds open his hat, which fills up with the falling treasure.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS518 	01:13:40,00 --> 01:13:44,50 	smiling, he holds it aloft.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS566 	01:18:45,00 --> 01:18:52,50 	then turns his head sharply and looks at the glass case holding the unicorn model.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS574 	01:19:11,00 --> 01:19:17,50 	the glass case holding the unicorn shatters in sprays of glass shards.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS584 	01:20:04,00 --> 01:20:08,50 	holding the falcon, someone strides off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS626 	01:23:42,00 --> 01:23:57,50 	still holding on to the handlebars, someone zips down the cable over the town.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS630 	01:24:08,00 --> 01:24:14,50 	holding the bird, someone lands on a floating dock near the karaboudjan.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS633 	01:24:23,00 --> 01:24:27,50 	someone holds someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS696 	01:33:05,00 --> 01:33:11,50 	someone stands and holds a lighter's flame onto the three scrolls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS708 	01:34:19,00 --> 01:34:26,50 	he places the three pieces of parchment together and holds them up to the light.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS725 	01:37:17,00 --> 01:37:24,50 	someone walks toward the back of the secret chamber to a statue of a man holding a small cross.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS46 	00:10:52,00 --> 00:11:00,50 	the kids enter a well-appointed dining area where someone's mom holds a drink.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS98 	00:23:33,00 --> 00:23:40,50 	holding a coffee with both hands, someone stares at him.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS155 	00:33:05,00 --> 00:33:13,50 	someone turns to him, holding a shot.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS179 	00:36:04,00 --> 00:36:19,50 	holding his side, she guides him to the lower bed beside her own.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS217 	00:42:04,00 --> 00:42:14,50 	the sharp perspective canvas shows six rows of plates each holding a slice of cake or pie identical to the others in its row.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS398 	01:16:47,00 --> 01:16:59,50 	he holds out someone's diploma.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS405 	01:17:59,00 --> 01:18:08,50 	the teen girl enters the room holding someone in a solemn gaze.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS149 	00:28:39,00 --> 00:28:45,50 	duct tape holds someone's head in place.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS155 	00:31:43,00 --> 00:31:48,50 	the thug holds him at gunpoint.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS273 	00:51:36,00 --> 00:51:48,50 	holding his head, he sits up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS348 	01:04:56,00 --> 01:05:03,50 	as he holds the flag for putting golfers, someone spies him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS362 	01:07:14,00 --> 01:07:19,50 	someone digs out his cell and holds it up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS582 	01:45:18,00 --> 01:45:23,50 	gelman shoves a cuffed someone toward a holding cell.
THE_CALL.srt 	THE_CALL_DVS130 	00:10:23,00 --> 00:10:30,50 	in the bedroom, someone holds the phone to her ear and quivers in the darkness.
THE_CALL.srt 	THE_CALL_DVS137 	00:11:17,00 --> 00:11:24,50 	at the house, the man holds someone down with a latex-gloved hand.
THE_CALL.srt 	THE_CALL_DVS555 	00:42:32,00 --> 00:42:40,50 	holding her headset, someone shifts her wide, frantic eyes to the gps locator screen.
THE_CALL.srt 	THE_CALL_DVS842 	01:04:07,00 --> 01:04:12,50 	later, he holds his hand over her mouth,
THE_CALL.srt 	THE_CALL_DVS884 	01:08:34,00 --> 01:08:38,50 	holding the phone against her chin,
THE_CALL.srt 	THE_CALL_DVS989 	01:15:56,00 --> 01:16:02,50 	he holds a torn shirt and cloth and tosses them down.
THE_CALL.srt 	THE_CALL_DVS1023 	01:18:06,00 --> 01:18:14,50 	someone holds it close to his face with one hand and sits on the bed with his back to someone.
THE_CALL.srt 	THE_CALL_DVS1097 	01:22:12,00 --> 01:22:18,50 	she removes her mask and shower cap and holds her face.
THE_CALL.srt 	THE_CALL_DVS1101 	01:23:00,00 --> 01:23:12,50 	he holds her down as her body tenses and bucks.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS146 	00:25:18,00 --> 00:25:24,50 	she sinks down beneath the water and holds her head in her hands.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS234 	00:36:06,00 --> 00:36:16,50 	now, a man's aging hands hold a document headed "advance healthcare directive".
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS253 	00:39:59,00 --> 00:40:05,50 	now, in someone's car, someone holds frozen peas over his eye.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS304 	00:46:30,00 --> 00:46:35,50 	leaning close, someone holds an anguished stare.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS398 	01:00:18,00 --> 01:00:26,50 	riding in the passenger seat, someone holds his forehead as he absently gazes out his window.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS554 	01:21:40,00 --> 01:21:47,50 	holding his wife close, someone forces a carefree grin.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS570 	01:25:02,00 --> 01:25:08,50 	his jaw tightens and he holds someone in a weary, disdainful stare.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS709 	01:39:03,00 --> 01:39:09,50 	her face obscured by a large bouquet held in front of it.
