21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	they face the gang leader.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS678 	02:07:16,00 --> 02:07:20,50 	the older man faces him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS687 	02:08:50,00 --> 02:09:04,50 	she stares guardedly at him, then takes the seat facing his.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS688 	02:09:06,00 --> 02:09:14,50 	leaning forward, he faces her with a knitted brow.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS56 	00:15:49,00 --> 00:15:58,50 	someone faces the archer.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS115 	00:29:17,00 --> 00:29:22,50 	someone faces each of his companions.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS118 	00:30:36,00 --> 00:30:42,50 	friar turns as someone arrives and faces a second clergyman.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS157 	00:39:14,00 --> 00:39:20,50 	he faces someone whose head remains bowed.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS189 	00:45:21,00 --> 00:45:26,50 	someone solemnly faces his friends.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS199 	00:47:41,00 --> 00:47:47,50 	someone gives him a look, then faces king someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS209 	00:50:22,00 --> 00:50:27,50 	someone strolls pass someone, then faces him.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS211 	00:50:53,00 --> 00:50:57,50 	someone faced soldier.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS236 	00:54:33,00 --> 00:54:38,50 	as he dismounts and faces her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS247 	00:56:26,00 --> 00:56:33,50 	a door to a stone colonnade, then faces the archer sternly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS258 	00:59:51,00 --> 01:00:06,50 	freed from the garment, he straightens and faces her bare chested.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS302 	01:13:07,00 --> 01:13:15,50 	a rat faced deacon nearby glares at someone as he sips from a tin mug.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS333 	01:22:14,00 --> 01:22:18,50 	later, someone faces someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS356 	01:28:11,00 --> 01:28:18,50 	someone faces a messenger.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS373 	01:32:45,00 --> 01:32:51,50 	someone's father bravely faces the authorities.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS420 	01:44:46,00 --> 01:44:51,50 	he collapses face down.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	facing the servants, someone thanks them with a nod.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS449 	01:51:49,00 --> 01:52:04,50 	as she faces him, her brow furrows woefully.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS32 	00:03:28,00 --> 00:03:34,50 	the young man glances aside then faces someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS148 	00:25:17,00 --> 00:25:22,50 	he faces another railing with a smile.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS167 	00:28:19,00 --> 00:28:26,50 	now as we face a stairway behind an entertainment system.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS235 	00:35:46,00 --> 00:35:51,50 	facing him, someone stares slack-jawed.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS351 	00:57:13,00 --> 00:57:20,50 	she faces someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS361 	00:59:01,00 --> 00:59:07,50 	someone faces him through the kitchen window with a wounded stare.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS364 	00:59:11,00 --> 00:59:17,50 	later, someone finds her curled up in a chair facing a window.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS368 	00:59:33,00 --> 00:59:39,50 	someone shifts in her seat to face him and leans forward.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS390 	01:02:42,00 --> 01:02:49,50 	he sets the phone in its cradle then faces the food cooking in the pan.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS458 	01:10:15,00 --> 01:10:21,50 	she faces him with a silly vapid grin.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS479 	01:12:44,00 --> 01:12:49,50 	someone faces her and swallows.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS520 	01:21:08,00 --> 01:21:15,50 	someone faces him, dressed to leave with her bag slung over her shoulder.
SALT.srt 	SALT_DVS78 	00:17:16,00 --> 00:17:32,50 	he shuts the door and faces someone.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	facing a mirror, she unwraps it.
SALT.srt 	SALT_DVS234 	00:40:40,00 --> 00:40:46,50 	she faces him, revealing her bruised swollen eye.
SALT.srt 	SALT_DVS353 	01:03:00,00 --> 01:03:11,50 	she faces someone and her bee-stung lips curl into a cold smile.
SALT.srt 	SALT_DVS359 	01:04:01,00 --> 01:04:10,50 	blinking, she clears her eyes and faces someone without a hint of grief.
SALT.srt 	SALT_DVS385 	01:08:27,00 --> 01:08:32,50 	in a seat facing her.
SALT.srt 	SALT_DVS514 	01:28:05,00 --> 01:28:11,50 	someone lies face down watching tensely.
SANCTUM.srt 	SANCTUM_DVS29 	00:06:55,00 --> 00:07:02,50 	someone gets up from his station and faces her with his hands on his hips.
SANCTUM.srt 	SANCTUM_DVS34 	00:07:53,00 --> 00:07:59,50 	the balding man takes off his hat and faces someone.
SANCTUM.srt 	SANCTUM_DVS51 	00:11:12,00 --> 00:11:19,50 	lowering his gaze, he turns to face him.
SANCTUM.srt 	SANCTUM_DVS70 	00:15:39,00 --> 00:15:44,50 	he steps off of the edge and falls face down.
SANCTUM.srt 	SANCTUM_DVS79 	00:16:48,00 --> 00:16:56,50 	at forward base, someone faces someone.
SANCTUM.srt 	SANCTUM_DVS258 	00:53:28,00 --> 00:53:36,50 	in the cathedral, someone faces someone worriedly.
SANCTUM.srt 	SANCTUM_DVS261 	00:53:53,00 --> 00:54:11,50 	as someone faces him, he points at his own eyes then at the restriction.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS68 	00:05:08,00 --> 00:05:13,50 	the woman faces a window to a room.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS95 	00:06:54,00 --> 00:06:59,50 	the stepmother faces someone's friend.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS102 	00:07:12,00 --> 00:07:18,50 	facing someone, she sticks out her tongue.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS108 	00:07:28,00 --> 00:07:33,50 	she pauses and faces her guest.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS183 	00:13:22,00 --> 00:13:27,50 	she faces someone, her bare feet resting on a stool.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS201 	00:14:33,00 --> 00:14:40,50 	the little girl faces a pair of doors.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS228 	00:15:53,00 --> 00:15:59,50 	turning onto her other side, she faces a sleeping sibling.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS401 	00:26:56,00 --> 00:27:04,50 	an elderly couple sits on either side of a table facing us.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS737 	00:49:00,00 --> 00:49:05,50 	later, she faces her pigtailed daughter.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS756 	00:49:59,00 --> 00:50:05,50 	elsewhere at the airport, the two friends face each by a window, sharing a long gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS805 	00:53:44,00 --> 00:53:48,50 	someone faces someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS847 	00:56:07,00 --> 00:56:13,50 	someone returns to her shadowy bed and rolls over to face the ceiling.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS920 	00:59:47,00 --> 00:59:52,50 	at night, someone faces her laotong.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1061 	01:11:21,00 --> 01:11:27,50 	then brushes her hair back and faces him with a coy hint of a smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1075 	01:12:40,00 --> 01:12:48,50 	now facing a mirror, someone dabs tinted gloss on her full lips, then smiles at herself.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1090 	01:14:32,00 --> 01:14:37,50 	someone faces her and takes her hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1101 	01:15:14,00 --> 01:15:18,50 	someone shuffles around to face her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1135 	01:17:11,00 --> 01:17:17,50 	eyes glistening, someone faces her laotong imploringly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1433 	01:37:13,00 --> 01:37:20,50 	at home, facing a window, someone holds the fan and traces characters with her fingertip on the glass pane.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS23 	00:05:03,00 --> 00:05:20,50 	now outside, the kids sit facing new york harbor.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS39 	00:08:14,00 --> 00:08:22,50 	the stringy-haired sorcerer slowly faces the boy, studying him, then brushes past.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS331 	01:07:49,00 --> 01:08:15,50 	he joggles it in his cupped hand as he faces the breathtaking cityscape.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS408 	01:25:18,00 --> 01:25:24,50 	the sorcerer turns, facing someone and someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS456 	01:36:44,00 --> 01:36:50,50 	someone stares at him worriedly, then faces
SOUL_SURFER.srt 	SOUL_SURFER_DVS134 	00:42:15,00 --> 00:42:19,50 	her mother faces someone.
SOUL_SURFER.srt 	SOUL_SURFER_DVS167 	00:49:54,00 --> 00:50:04,50 	as someone faces her parents with a hopeful smile they swap looks, then beam proudly at her.
SOUL_SURFER.srt 	SOUL_SURFER_DVS206 	01:07:04,00 --> 01:07:17,50 	someone and someone grimly face forward.
SPARKLE_2012.srt 	SPARKLE_2012_DVS73 	00:12:55,00 --> 00:13:00,50 	as she leaves the room, someone faces the group.
SPARKLE_2012.srt 	SPARKLE_2012_DVS309 	00:51:53,00 --> 00:51:59,50 	sister faces someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS368 	01:02:48,00 --> 01:02:55,50 	someone watches someone leave with a big smile that fades as she faces someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS373 	01:03:13,00 --> 01:03:21,50 	as he and someone leave the dressing room, sister faces the opposite way and fiddles with her purse.
SPARKLE_2012.srt 	SPARKLE_2012_DVS435 	01:11:26,00 --> 01:11:33,50 	she wriggles free, and dashes into another room, where she falls face down on a banquette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS482 	01:18:30,00 --> 01:18:34,50 	he falls face down on the carpet.
SPARKLE_2012.srt 	SPARKLE_2012_DVS489 	01:19:02,00 --> 01:19:07,50 	someone kneels over someone and rolls him face up.
SPARKLE_2012.srt 	SPARKLE_2012_DVS505 	01:21:25,00 --> 01:21:32,50 	someone rests her head across her arm, as she lies face down on her bed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS564 	01:32:55,00 --> 01:33:00,50 	someone crosses the lobby and faces someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS601 	01:39:04,00 --> 01:39:09,50 	as someone faces someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS613 	01:39:52,00 --> 01:39:57,50 	sister takes the seat facing hers and slumps.
SPARKLE_2012.srt 	SPARKLE_2012_DVS614 	01:39:54,00 --> 01:40:01,50 	someone removes her sunglasses and faces her daughter with puffy eyes.
SPARKLE_2012.srt 	SPARKLE_2012_DVS632 	01:43:10,00 --> 01:43:18,50 	someone lays her hands over her heart, then faces a full-length mirror and takes in her own striking reflection.
SPARKLE_2012.srt 	SPARKLE_2012_DVS635 	01:43:30,00 --> 01:43:36,50 	now on stage, she adjusts her microphone and faces the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS639 	01:43:46,00 --> 01:43:53,50 	facing the house, she finds her mother giving an encouraging smile.
SPARKLE_2012.srt 	SPARKLE_2012_DVS650 	01:48:26,00 --> 01:48:34,50 	beaming joyfully, the young singer songwriter faces the cheering audience.
SUPER_8.srt 	SUPER_8_DVS117 	00:18:33,00 --> 00:18:38,50 	he lies faced down with his hands over his head.
SUPER_8.srt 	SUPER_8_DVS135 	00:20:30,00 --> 00:20:36,50 	someone blinks then smiling wide turns and faces her.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS89 	00:12:43,00 --> 00:12:52,50 	he stands and faces down a long driveway toward a dark and dilapidated estate house.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS271 	00:39:52,00 --> 00:39:58,50 	someone skids to a stop beside an armed thug who spins and faces him.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS369 	00:55:29,00 --> 00:55:35,50 	someone loses his grip on the tail and lands face first in a powdery dune.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS468 	01:08:23,00 --> 01:08:30,50 	he climbs the steps to the deck where red someone faces him with his sword drawn.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS123 	00:28:20,00 --> 00:28:28,50 	turning to the next page he studies an oil painting of a woman in a ruffled dress facing a mirror.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS124 	00:28:29,00 --> 00:28:40,50 	he turns the page again and studies a portrait of a sickly somber faced boy.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS147 	00:32:11,00 --> 00:32:24,50 	facing him, someone brushes back her hair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS210 	00:40:26,00 --> 00:40:40,50 	now in a gallery at the whitney museum, someone and someone face a gray canvas covered with chalky scribbles.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS284 	00:55:07,00 --> 00:55:16,50 	the sober faced teachers stay put as someone gets up from the couch and exits.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS327 	01:03:48,00 --> 01:03:53,50 	someone stops and faces her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS380 	01:13:26,00 --> 01:13:42,50 	working facing the wall, the administrator turns and looks up at someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS385 	01:14:11,00 --> 01:14:17,50 	the art teacher faces someone with a cocked eyebrow.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS386 	01:14:14,00 --> 01:14:31,50 	the teen gives a dimpled smile as he returns the hug, then faces his work with gleaming eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS399 	01:16:56,00 --> 01:17:21,50 	as he faces the audience, sunlight flares in brightly through a window behind him.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS411 	01:18:37,00 --> 01:18:47,50 	she joins him at his side then faces the portrait again.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS414 	01:18:56,00 --> 01:19:03,50 	as they linger facing the painting together she glances at him fondly.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS415 	01:19:06,00 --> 01:19:15,50 	she faces someone intently then looks back at the painting.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS138 	00:27:30,00 --> 00:27:36,50 	as someone swaggers over, she tensely faces him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS163 	00:33:12,00 --> 00:33:23,50 	as he arrives at a desk, an aging blonde swivels to face him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS225 	00:44:40,00 --> 00:44:50,50 	someone braces herself on the headboard, digs her feet into the comforter, and makes her downward facing body as stiff as a board.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS291 	00:53:55,00 --> 00:54:01,50 	he shifts the car into park, gets out, and faces his ex-wife.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS368 	01:08:16,00 --> 01:08:24,50 	later, they face a three-story victorian style house with a wrap-around porch.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS391 	01:14:53,00 --> 01:15:00,50 	someone looks away then faces him defenselessly.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS410 	01:17:02,00 --> 01:17:07,50 	someone faces someone, who waits in the hall.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS518 	01:33:27,00 --> 01:33:33,50 	ray faces the dancer.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS583 	01:45:35,00 --> 01:45:47,50 	someone shrugs and faces his ex-wife through the bars.
THE_CALL.srt 	THE_CALL_DVS147 	00:11:54,00 --> 00:12:00,50 	her boss enters the room and she turns to face her.
THE_CALL.srt 	THE_CALL_DVS172 	00:13:59,00 --> 00:14:05,50 	she nods to her friend and they both face their terminals.
THE_CALL.srt 	THE_CALL_DVS174 	00:14:06,00 --> 00:14:16,50 	facing the screens, she relaxes her shoulders.
THE_CALL.srt 	THE_CALL_DVS226 	00:18:59,00 --> 00:19:05,50 	now in a conference room, someone faces a table of trainees.
THE_CALL.srt 	THE_CALL_DVS277 	00:24:26,00 --> 00:24:33,50 	opening her eyes, the dazed teen faces the interior of a car's trunk.
THE_CALL.srt 	THE_CALL_DVS299 	00:25:30,00 --> 00:25:35,50 	in the hive, someone faces her trainees.
THE_CALL.srt 	THE_CALL_DVS326 	00:28:18,00 --> 00:28:22,50 	the boss faces brooke.
THE_CALL.srt 	THE_CALL_DVS487 	00:37:41,00 --> 00:37:50,50 	facing forward, the kidnapper's jaw trembles.
THE_CALL.srt 	THE_CALL_DVS547 	00:42:09,00 --> 00:42:14,50 	the killer faces the sedan with his mouth hanging open.
THE_CALL.srt 	THE_CALL_DVS899 	01:09:31,00 --> 01:09:36,50 	the car faces someone's childhood cottage.
THE_CALL.srt 	THE_CALL_DVS963 	01:13:58,00 --> 01:14:03,50 	the phone lands face up at the foot of the ladder.
THE_CALL.srt 	THE_CALL_DVS976 	01:15:02,00 --> 01:15:09,50 	rounding a corner, she faces a wall with an exposed wooden frame.
THE_CALL.srt 	THE_CALL_DVS1047 	01:19:21,00 --> 01:19:28,50 	he turns to face the hanging clothes and sets his hand on top of the open door.
THE_CALL.srt 	THE_CALL_DVS1066 	01:20:21,00 --> 01:20:27,50 	someone hangs up and faces the officers leaning over someone's body.
THE_CALL.srt 	THE_CALL_DVS1110 	01:23:38,00 --> 01:23:44,50 	someone takes a step back as someone rises to face them.
THE_CALL.srt 	THE_CALL_DVS1122 	01:24:34,00 --> 01:24:39,50 	someone looks behind him, facing someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS32 	00:06:13,00 --> 00:06:23,50 	sharing her mother's round face and sullen pout, she faces her visitors.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS37 	00:06:55,00 --> 00:06:59,50 	the mother faces her daughter inquiringly.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS51 	00:11:03,00 --> 00:11:07,50 	a balding doctor faces someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS56 	00:12:55,00 --> 00:13:00,50 	the doctor unhappily faces him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS73 	00:14:42,00 --> 00:14:48,50 	wearing a yellow swim mask, she undulates face down in the water.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS156 	00:25:59,00 --> 00:26:08,50 	fully dressed and curled up on a sofa, someone faces its back and rests her chin on her folded arms.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS161 	00:26:35,00 --> 00:26:41,50 	someone sits up, then scoots around to face him fully.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS178 	00:29:32,00 --> 00:29:38,50 	facing someone, he rubs his chin and nose.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS199 	00:32:41,00 --> 00:32:47,50 	someone screws his jaw to one side and faces someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS203 	00:33:28,00 --> 00:33:35,50 	someone pulls a chair out from a nearby table and sits facing his friends.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS231 	00:35:38,00 --> 00:35:43,50 	someone faces someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS250 	00:39:06,00 --> 00:39:10,50 	someone eyes him, then faces his wife.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS258 	00:40:42,00 --> 00:40:47,50 	glaring, someone withdraws his hand and faces someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS301 	00:45:34,00 --> 00:45:38,50 	he faces his wife.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS318 	00:48:45,00 --> 00:48:48,50 	she turns to face to bed.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS320 	00:49:17,00 --> 00:49:25,50 	later, someone sits next to someone, while someone reads in a chair facing the foot of the bed.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS362 	00:55:37,00 --> 00:55:44,50 	someone abruptly faces forward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS497 	01:11:31,00 --> 01:11:37,50 	someone bites back a comment and faces the water.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS500 	01:12:02,00 --> 01:12:06,50 	the mother faces the water.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS518 	01:16:01,00 --> 01:16:07,50 	someone lowers his thunderstruck gaze, then faces the stage.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS530 	01:17:18,00 --> 01:17:26,50 	someone, who is seated between his daughters, faces us as though we're in someone's position.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS558 	01:22:32,00 --> 01:22:37,50 	someone faces someone anxiously.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS563 	01:23:45,00 --> 01:23:49,50 	straightening, he faces someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS592 	01:27:44,00 --> 01:27:50,50 	her lips trembling, the girl turns back to face her.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS692 	01:37:54,00 --> 01:38:00,50 	rising from his chair, someone faces the group and gives them a nod.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS752 	01:44:56,00 --> 01:45:01,50 	someone rises from his chair and faces her.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS760 	01:45:19,00 --> 01:45:24,50 	someone faces her younger sister.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS66 	00:05:10,00 --> 00:05:16,50 	as he enters, a staff of employees halt and face him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS79 	00:07:32,00 --> 00:07:36,50 	she faces someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS81 	00:08:39,00 --> 00:08:45,50 	someone faces someone who wearily meets his gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS88 	00:09:12,00 --> 00:09:17,50 	someone sits facing a laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS96 	00:09:48,00 --> 00:09:56,50 	now, at a christmas gathering, someone faces his lover, her husband and a brunette.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS127 	00:13:07,00 --> 00:13:13,50 	sitting in his briefs, someone turns to face her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS153 	00:15:12,00 --> 00:15:17,50 	the journalist sits facing his host.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS332 	00:40:58,00 --> 00:41:05,50 	a caretaker removes a tray from the table in front of the blank faced man.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS368 	00:45:19,00 --> 00:45:27,50 	as he sits on the edge facing her, someone anxiously shifts in her seat and avoids looking at him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS442 	00:52:30,00 --> 00:52:36,50 	someone sets her bag in a chair facing it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS457 	00:53:20,00 --> 00:53:28,50 	now, someone wakes face down on the bed with a thick black gag separating her upper and lower teeth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS536 	01:00:48,00 --> 01:00:53,50 	a cashier faces someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS574 	01:03:48,00 --> 01:03:53,50 	someone topples falling face first on the floor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS597 	01:05:50,00 --> 01:05:55,50 	someone turns back to face her rapist.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS599 	01:05:55,00 --> 01:06:01,50 	she tases him and he faces her with wide eyes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS814 	01:33:20,00 --> 01:33:27,50 	he pans over the blurry faces of people standing across the street from someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS818 	01:33:37,00 --> 01:33:45,50 	standing in a corner the passenger faces away from him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS912 	01:41:45,00 --> 01:41:51,50 	facing a matronly manager through a window
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1022 	01:50:10,00 --> 01:50:15,50 	he stops facing someone's now dimly lit home.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1051 	01:52:00,00 --> 01:52:07,50 	reaching the dining area he pauses to face a dark corridor beside him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1067 	01:52:54,00 --> 01:53:01,50 	back in hedestad, someone stands and faces him with a nonchalant wave.someone's suv travels down a curving path.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1090 	01:54:08,00 --> 01:54:14,50 	someone stands and faces him with a nonchalant wave.
