21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
KARATE_KID.srt 	KARATE_KID_DVS289 	00:25:53,00 --> 00:25:59,50 	looking around, the maintenance man spies a toothpaste cap on the sink.
KARATE_KID.srt 	KARATE_KID_DVS372 	00:33:08,00 --> 00:33:13,50 	someone looks past her and stares.
KARATE_KID.srt 	KARATE_KID_DVS490 	00:44:12,00 --> 00:44:20,50 	someone faces the fallen american boy who looks up, his face grimacing helplessly.
KARATE_KID.srt 	KARATE_KID_DVS542 	00:48:58,00 --> 00:49:03,50 	someone looks at him.
KARATE_KID.srt 	KARATE_KID_DVS549 	00:49:35,00 --> 00:49:44,50 	someone looks up as someone heads out.
KARATE_KID.srt 	KARATE_KID_DVS562 	00:50:41,00 --> 00:50:47,50 	looking on, mr.
KARATE_KID.srt 	KARATE_KID_DVS582 	00:51:44,00 --> 00:51:50,50 	as they approach, someone's cohorts turn to look at them.
KARATE_KID.srt 	KARATE_KID_DVS623 	00:53:27,00 --> 00:53:32,50 	the students look at their instructor.
KARATE_KID.srt 	KARATE_KID_DVS1030 	01:23:40,00 --> 01:23:46,50 	he gives someone a gentle pat, then looks away, and takes a deep breath.
KARATE_KID.srt 	KARATE_KID_DVS1033 	01:23:48,00 --> 01:23:52,50 	someone puts someone to bed, as someone looks on.
KARATE_KID.srt 	KARATE_KID_DVS1035 	01:24:01,00 --> 01:24:08,50 	someone looks on with a fond smile.
KARATE_KID.srt 	KARATE_KID_DVS1074 	01:27:35,00 --> 01:27:40,50 	someone looks past her shoulder and freezes.
KARATE_KID.srt 	KARATE_KID_DVS1087 	01:29:27,00 --> 01:29:37,50 	as he quivers his body side to side, he twirls his arms in front of his chest, then waggles his legs, making them look like rubber.
KARATE_KID.srt 	KARATE_KID_DVS1089 	01:29:45,00 --> 01:29:58,50 	the girl looks over her shoulder, giving someone an anxious pleading look.
KARATE_KID.srt 	KARATE_KID_DVS1119 	01:32:52,00 --> 01:33:01,50 	mrs. po looks on with a softened gaze.
KARATE_KID.srt 	KARATE_KID_DVS1137 	01:34:35,00 --> 01:34:40,50 	she looks back at someone and holds up her pinky.
KARATE_KID.srt 	KARATE_KID_DVS1161 	01:35:55,00 --> 01:36:01,50 	he slows, and looks around anxiously, then treads through the kitchen.
KARATE_KID.srt 	KARATE_KID_DVS1189 	01:37:31,00 --> 01:37:36,50 	someone looks to someone, who frowns through the windshield,
KARATE_KID.srt 	KARATE_KID_DVS1200 	01:38:03,00 --> 01:38:09,50 	he looks to the dashboard, leans over, and grabs something.
KARATE_KID.srt 	KARATE_KID_DVS1228 	01:40:51,00 --> 01:40:57,50 	someone watches his teacher solemnly, then looks away.
KARATE_KID.srt 	KARATE_KID_DVS1286 	01:43:59,00 --> 01:44:07,50 	someone executes kung fu sequences against the powder-blue sky as someone looks on.
KARATE_KID.srt 	KARATE_KID_DVS1355 	01:49:37,00 --> 01:49:41,50 	someone looks up from his notes
KARATE_KID.srt 	KARATE_KID_DVS1366 	01:50:20,00 --> 01:50:25,50 	someone lifts his brow and looks to someone, who stands hiding in the bushes.
KARATE_KID.srt 	KARATE_KID_DVS1401 	01:52:47,00 --> 01:53:00,50 	someone looks to someone, who points at his eyes, then someone.
KARATE_KID.srt 	KARATE_KID_DVS1411 	01:53:54,00 --> 01:54:00,50 	now, someone looks at someone, who struts onto a mat.
KARATE_KID.srt 	KARATE_KID_DVS1441 	01:56:56,00 --> 01:57:02,50 	from the sidelines, master someone tensely looks on.
KARATE_KID.srt 	KARATE_KID_DVS1475 	01:59:58,00 --> 02:00:04,50 	someone looks to his instructor, who watches impassively.
KARATE_KID.srt 	KARATE_KID_DVS1478 	02:00:08,00 --> 02:00:15,50 	the crowd solemnly looks on as the two opponents circle one another.
KARATE_KID.srt 	KARATE_KID_DVS1480 	02:00:21,00 --> 02:00:44,50 	someone and master someone look on intently.
KARATE_KID.srt 	KARATE_KID_DVS1488 	02:01:15,00 --> 02:01:19,50 	someone looks on.
KARATE_KID.srt 	KARATE_KID_DVS1493 	02:01:28,00 --> 02:01:32,50 	someone looks up at his teacher.
KARATE_KID.srt 	KARATE_KID_DVS1503 	02:02:14,00 --> 02:02:19,50 	uncovering his face, someone looks up at his teacher.
KARATE_KID.srt 	KARATE_KID_DVS1518 	02:03:15,00 --> 02:03:20,50 	his pupil gazes into his eyes, then gravely looks away.
KARATE_KID.srt 	KARATE_KID_DVS1546 	02:05:01,00 --> 02:05:10,50 	the american looks the bully dead in the eye, then approaches mr.
KARATE_KID.srt 	KARATE_KID_DVS1558 	02:05:48,00 --> 02:06:17,50 	someone angrily looks away and someone rushes to someone's side.
KARATE_KID.srt 	KARATE_KID_DVS1579 	02:08:41,00 --> 02:08:46,50 	the student shifts on his feet and looks up at his opponent.
KARATE_KID.srt 	KARATE_KID_DVS1587 	02:09:18,00 --> 02:09:25,50 	someone looks to his teacher, who gestures with a cold tilt of his head.
KARATE_KID.srt 	KARATE_KID_DVS1589 	02:09:35,00 --> 02:09:48,50 	as master someone looks to the big screen, it shows a slow-motion replay of the brutal kick.
KARATE_KID.srt 	KARATE_KID_DVS1594 	02:10:02,00 --> 02:10:09,50 	master someone looks to mr.
KARATE_KID.srt 	KARATE_KID_DVS1600 	02:10:23,00 --> 02:10:30,50 	someone looks up at someone, who looks away, his gaze betraying a hint of contrition.
KARATE_KID.srt 	KARATE_KID_DVS1600 	02:10:23,00 --> 02:10:30,50 	someone looks up at someone, who looks away, his gaze betraying a hint of contrition.
KARATE_KID.srt 	KARATE_KID_DVS1629 	02:12:29,00 --> 02:12:37,50 	snapping out of his meditative focus, the boy shifts his confused gaze, then looks to mr.
KARATE_KID.srt 	KARATE_KID_DVS1634 	02:12:46,00 --> 02:12:56,50 	as someone turns away with his head bowed, someone looks to the big screen.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS261 	01:01:56,00 --> 01:02:00,50 	bradford looks up.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS340 	01:19:51,00 --> 01:19:55,50 	someone looks through dresses on hangers.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS45 	00:15:43,00 --> 00:15:59,50 	slowly opening it, she looks around and gapes.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS46 	00:15:59,00 --> 00:16:05,50 	someone looks at three daytime moons in the sky.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS66 	00:21:02,00 --> 00:21:06,50 	someone looks at someone, then rushes over.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS112 	00:35:59,00 --> 00:36:07,50 	someone grips someone's chin and turns his head to look at dozens of lizard-like creatures emerging from niches in the plaza wall.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS122 	00:42:39,00 --> 00:42:45,50 	someone looks to someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS149 	00:55:14,00 --> 00:55:23,50 	someone and someone turn and someone looks up from her journal.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS154 	00:57:19,00 --> 00:57:27,50 	he looks up, his face ashen and his chest heaving.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS160 	00:59:15,00 --> 00:59:23,50 	someone looks to someone, who grins and gives an encouraging nod.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS175 	01:04:32,00 --> 01:04:38,50 	later in the pool, someone looks at someone with bloodshot eyes.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS201 	01:11:10,00 --> 01:11:18,50 	looking back, he flashes a complex set of hand signals.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS226 	01:19:57,00 --> 01:20:00,50 	someone looks on.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS22 	00:06:49,00 --> 00:06:59,50 	to speak then swallows and looks away.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS35 	00:12:18,00 --> 00:12:22,50 	he looks at map and checks it, then.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS37 	00:12:23,00 --> 00:12:27,50 	now at a registration desk he looks over a course book.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS70 	00:18:50,00 --> 00:18:55,50 	she enters and looks around.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS117 	00:27:10,00 --> 00:27:16,50 	as he sits across from someone, she looks up from her magazine.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS128 	00:29:50,00 --> 00:29:55,50 	someone looks at someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS145 	00:32:28,00 --> 00:32:32,50 	and look to your left.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS161 	00:37:51,00 --> 00:38:02,50 	seated at his kitchen island he looks to the front door and doffs his glasses.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS184 	00:43:21,00 --> 00:43:27,50 	someone eyes him flatly, then looks to her right.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS188 	00:43:48,00 --> 00:43:55,50 	someone looks to the center.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS206 	00:48:06,00 --> 00:48:12,50 	the students look over their shoulders.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS228 	00:51:42,00 --> 00:51:50,50 	someone looks up at a clock, which reads two minutes to eight.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS245 	00:58:43,00 --> 00:58:47,50 	she looks at him with a withering gaze.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS250 	01:00:33,00 --> 01:00:37,50 	she looks around.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS303 	01:12:14,00 --> 01:12:19,50 	someone looks over.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS327 	01:15:45,00 --> 01:16:00,50 	he looks at the now empty house, then exits, shutting the door beside him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS144 	00:18:11,00 --> 00:18:23,50 	looking right, he sees dozens of kneeling men bowing, performing salah in the mosque's courtyard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS156 	00:20:54,00 --> 00:21:00,50 	slowly lifting his sheepish gaze, someone looks around the table.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS216 	00:28:46,00 --> 00:28:50,50 	someone smiles and looks down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS221 	00:29:35,00 --> 00:29:40,50 	someone tilts her head and looks up.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS225 	00:30:24,00 --> 00:30:28,50 	his mother looks down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS230 	00:31:40,00 --> 00:31:46,50 	he faces forward then looks back at the sun as his mother approaches.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS287 	00:37:51,00 --> 00:37:57,50 	stepping back, he looks skyward and waves his arms giddily.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS351 	00:42:30,00 --> 00:42:47,50 	getting his bearings, he looks back at the lifeboat, then gazes out over the roiling water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS358 	00:43:20,00 --> 00:43:26,50 	someone looks on helplessly as the ship descends into the deep.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS445 	00:50:49,00 --> 00:50:56,50 	a line of saliva streams from his mouth as he looks around and recovers.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS462 	00:52:19,00 --> 00:52:25,50 	as someone looks on, his jubilant smile fades.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS492 	00:54:51,00 --> 00:54:58,50 	looking down, he finds a sizable rat scurrying over the cans.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS536 	00:58:21,00 --> 00:58:26,50 	the boy turns, looking over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS553 	01:00:06,00 --> 01:00:12,50 	reading it on his bobbing raft, someone looks over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS592 	01:05:33,00 --> 01:05:39,50 	from the lifeboat, someone licks his chops as he looks on.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS601 	01:06:08,00 --> 01:06:13,50 	someone looks up, his eyes wide.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS605 	01:06:21,00 --> 01:06:26,50 	looking on, someone allows an amused smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS626 	01:07:50,00 --> 01:07:57,50 	as he looks around, someone paddles along the hull and tries again without success.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS630 	01:08:14,00 --> 01:08:19,50 	someone looks around again.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS672 	01:11:28,00 --> 01:11:33,50 	standing on the raft grid, someone holds onto the boat's hull rope as he looks on.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS685 	01:12:22,00 --> 01:12:29,50 	the teen looks around cautiously then returns his attention to the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS767 	01:19:01,00 --> 01:19:07,50 	their eyes connect as the tiger looks up.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS823 	01:23:59,00 --> 01:24:07,50 	someone's ear twitches and he slowly turns his head looking down into the dark ocean.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS858 	01:26:39,00 --> 01:26:44,50 	the tiger finishes grooming his paw and looks up.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS902 	01:30:45,00 --> 01:30:53,50 	he looks across the boat at someone someone who sleeps on the bench in a small shaft of sunlight.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS930 	01:32:48,00 --> 01:32:54,50 	the tiger weakly looks up at him as someone strokes its forehead.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS939 	01:33:15,00 --> 01:33:21,50 	then looks up at the sky as despair wells in his eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS961 	01:35:06,00 --> 01:35:12,50 	after a few curious bites he looks down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS972 	01:36:03,00 --> 01:36:11,50 	he looks out over a vast area where the ground seems to ungulate around several circular pools.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS980 	01:36:41,00 --> 01:36:46,50 	he raises his head from the pond and looks around.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS984 	01:36:51,00 --> 01:36:57,50 	he smiles as he looks at the surrounding mass of water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS995 	01:37:51,00 --> 01:37:59,50 	looking down, he stops and unties someone's string bracelet, unwrapping it from his wrist.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1001 	01:38:16,00 --> 01:38:24,50 	he looks out over the field as thousands of meerkats stampede into the forest.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1021 	01:39:51,00 --> 01:39:58,50 	the soft light glows on someone's face as he looks down open mouthed.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1023 	01:40:06,00 --> 01:40:11,50 	someone's fearful gaze looks up.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1040 	01:42:38,00 --> 01:42:43,50 	someone hops off the boat looking inland.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1051 	01:44:41,00 --> 01:44:47,50 	someone looks up as someone someone hops over him from the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1068 	01:47:27,00 --> 01:47:32,50 	his lips twitch and he looks down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1072 	01:48:12,00 --> 01:48:17,50 	someone looks off then turns.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1084 	01:50:11,00 --> 01:50:16,50 	someone swallows and looks off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1094 	01:53:36,00 --> 01:53:41,50 	someone faces the older man earnestly then looks away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1096 	01:53:55,00 --> 01:54:01,50 	he looks back at the teen and his brow knits uneasily.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1123 	01:58:26,00 --> 01:58:32,50 	the writer looks up from the file and beams.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS45 	00:19:11,00 --> 00:19:21,50 	with a strange smile, he strolls back into the kitchen where someone looks over.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS49 	00:19:46,00 --> 00:19:50,50 	he looks up.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS131 	00:49:30,00 --> 00:49:39,50 	someone gives a nod and someone looks away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS146 	00:52:33,00 --> 00:52:41,50 	someone looks at her mother and winces.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS206 	01:13:46,00 --> 01:13:51,50 	someone looks away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS255 	01:23:59,00 --> 01:24:04,50 	meanwhile, someone looks in the shoebox.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS275 	01:27:29,00 --> 01:27:33,50 	again looks at someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS289 	01:31:38,00 --> 01:31:59,50 	as jinx looks on, someone types his name into a google search window.
MORNING_GLORY.srt 	MORNING_GLORY_DVS61 	00:12:06,00 --> 00:12:10,50 	someone looks down,
MORNING_GLORY.srt 	MORNING_GLORY_DVS96 	00:20:59,00 --> 00:21:07,50 	she looks up.
MORNING_GLORY.srt 	MORNING_GLORY_DVS158 	00:37:05,00 --> 00:37:09,50 	everyone turns to look at someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS172 	00:40:07,00 --> 00:40:12,50 	she poses and looks over at someone who turns.
MORNING_GLORY.srt 	MORNING_GLORY_DVS206 	00:47:45,00 --> 00:47:51,50 	she looks at him sharply.
MORNING_GLORY.srt 	MORNING_GLORY_DVS276 	01:01:15,00 --> 01:01:21,50 	she shifts and looks at him uncertainly.
MORNING_GLORY.srt 	MORNING_GLORY_DVS320 	01:10:41,00 --> 01:10:45,50 	someone looks nervous.
MORNING_GLORY.srt 	MORNING_GLORY_DVS364 	01:20:16,00 --> 01:20:20,50 	she looks at graphs.
MORNING_GLORY.srt 	MORNING_GLORY_DVS397 	01:26:53,00 --> 01:26:58,50 	someone looks down and shakes her head.
MORNING_GLORY.srt 	MORNING_GLORY_DVS401 	01:28:35,00 --> 01:28:42,50 	someone looks down and pinches the material of his trousers nervously.
MORNING_GLORY.srt 	MORNING_GLORY_DVS402 	01:28:49,00 --> 01:28:54,50 	he gives her a gentle smile, then looks down.
MORNING_GLORY.srt 	MORNING_GLORY_DVS411 	01:30:00,00 --> 01:30:08,50 	she looks down.
MORNING_GLORY.srt 	MORNING_GLORY_DVS427 	01:33:21,00 --> 01:33:25,50 	someone looks down.
MORNING_GLORY.srt 	MORNING_GLORY_DVS442 	01:34:26,00 --> 01:34:32,50 	someone shakes her head and looks down at the note in her hands.
MORNING_GLORY.srt 	MORNING_GLORY_DVS445 	01:34:36,00 --> 01:34:41,50 	she looks up at the enormous skyscraper
MORNING_GLORY.srt 	MORNING_GLORY_DVS462 	01:38:31,00 --> 01:38:35,50 	he looks into the camera.
MORNING_GLORY.srt 	MORNING_GLORY_DVS480 	01:40:08,00 --> 01:40:13,50 	who eventually looks up and spots her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS481 	01:40:11,00 --> 01:40:15,50 	he looks down again
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS35 	00:05:11,00 --> 00:05:16,50 	he looks at someone who hands him a newspaper hat.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS51 	00:08:33,00 --> 00:08:38,50 	a confused someone looks at someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS68 	00:10:36,00 --> 00:10:41,50 	someone looks around the immaculate living room.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS154 	00:22:27,00 --> 00:22:32,50 	someone looks at the bird standing behind him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS241 	00:35:11,00 --> 00:35:15,50 	captain looks down.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS341 	00:43:49,00 --> 00:43:55,50 	dancing with someone, someone looks up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS344 	00:43:57,00 --> 00:44:07,50 	someone looks over someone's shoulder.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS408 	00:47:45,00 --> 00:47:52,50 	someone looks up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS463 	00:54:40,00 --> 00:54:47,50 	someone looks at the table again, and someone follows his tense gaze.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS495 	01:00:01,00 --> 01:00:05,50 	someone looks over.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS585 	01:09:51,00 --> 01:09:57,50 	in another, two penguins look down at their egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS608 	01:12:54,00 --> 01:12:58,50 	he looks at his kids.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS671 	01:23:19,00 --> 01:23:23,50 	she looks toward the corner table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS698 	01:26:42,00 --> 01:26:50,50 	leaving their kids with captain, he wraps an arm around someone's shoulders as they look out at the other penguins.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS702 	01:27:10,00 --> 01:27:15,50 	they look down at her egg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS118 	00:26:24,00 --> 00:26:28,50 	she looks at a window which opened.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS175 	00:39:43,00 --> 00:39:56,50 	the someone looks from the open door to someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS229 	00:48:14,00 --> 00:48:18,50 	notices someone looking on.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS242 	00:50:26,00 --> 00:50:39,50 	someone looks on sympathetically as his sister faces someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS268 	00:59:01,00 --> 00:59:07,50 	someone looks away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS276 	01:00:22,00 --> 01:00:28,50 	he looks up, admiring the scratch-o-matic.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS321 	01:11:09,00 --> 01:11:21,50 	the man looks into his nephew's unwavering eyes, then opens his mouth to speak.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS333 	01:13:08,00 --> 01:13:20,50 	the boys look to the door where an officer enters with lord someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS359 	01:17:16,00 --> 01:17:22,50 	someone looks nervously at someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS361 	01:17:31,00 --> 01:17:35,50 	someone looks over.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS418 	01:27:12,00 --> 01:27:27,50 	she straightens and looks at the others.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS506 	01:41:27,00 --> 01:41:41,50 	he lands in a puddle as the children mirthfully look on.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS61 	00:07:27,00 --> 00:07:33,50 	looking slightly lost he drives away.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS121 	00:18:25,00 --> 00:18:30,50 	he sits up and looks around.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS124 	00:18:45,00 --> 00:18:50,50 	someone looks up at her with his eye narrowed.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS184 	00:32:05,00 --> 00:32:12,50 	someone looks at his phone a message from someone reads, "youre placed in 30."
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS211 	00:35:57,00 --> 00:36:02,50 	she looks at someone's penis through 3d glasses.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS261 	00:46:32,00 --> 00:46:37,50 	she looks at him earnestly.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS262 	00:47:03,00 --> 00:47:08,50 	he looks away from her and grabs his coat.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS266 	00:48:46,00 --> 00:48:51,50 	a man looks at someone surprised.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS333 	01:00:53,00 --> 01:00:58,50 	someone pops a pill and looks at someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS336 	01:03:32,00 --> 01:03:36,50 	someone looks touched.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS347 	01:05:21,00 --> 01:05:26,50 	she looks unsure and sighs,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS380 	01:09:43,00 --> 01:09:50,50 	preoccupied, she looks out at the window to her side.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS392 	01:12:12,00 --> 01:12:17,50 	she turns towards someone, but doesn't look at him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS394 	01:12:47,00 --> 01:12:54,50 	she stops beneath the red and white emergency sign and looks back,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS420 	01:17:07,00 --> 01:17:12,50 	someone looks around at dr.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS422 	01:17:22,00 --> 01:17:27,50 	someone looks back and smiles.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS454 	01:23:04,00 --> 01:23:11,50 	he looks tense.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS498 	01:32:15,00 --> 01:32:20,50 	he looks away bewildered.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS541 	01:40:18,00 --> 01:40:25,50 	with a wry smile he looks down and takes her hand in his
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS554 	01:41:48,00 --> 01:41:58,50 	she looks decidedly uncomfortable and makes a bid for freedom.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS16 	00:04:26,00 --> 00:04:33,50 	now the aging announcer wears a fedora as he looks out at the empty ballpark.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS29 	00:06:36,00 --> 00:06:41,50 	someone looks down, then hugs his wife.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS72 	00:18:15,00 --> 00:18:19,50 	he runs and looks back.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS210 	00:51:54,00 --> 00:52:01,50 	in the morning someone grins as he looks down and draws with a florescent pink paint pen.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS319 	01:15:59,00 --> 01:16:04,50 	someone nods and someone looks down with a smile.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS326 	01:17:38,00 --> 01:17:43,50 	as the officer looks under the car a taxi pulls up.
